OBJECTID,Offense,Latitude,Longitude,facname,Public Area,Public Area (supergroup)
56,ROBBERY,40.834324,-73.917174,,,
57,ROBBERY,40.8596097,-73.90777498,,,
58,ROBBERY,40.836551,-73.90244,,,
59,ROBBERY,40.820137,-73.892278,,,
60,ROBBERY,40.828867,-73.865667,,,
61,ROBBERY,40.825781,-73.863538,,,
62,ROBBERY,40.904557,-73.849717,,,
63,ROBBERY,40.902763,-73.850945,,,
64,ROBBERY,40.822622,-73.930942,,,
65,RAPE,40.81035186,-73.92494233,,,
66,ROBBERY,40.836668,-73.9238,,,
67,ROBBERY,40.825869,-73.919357,,,
68,ROBBERY,40.82970103,-73.91931454,,,
69,ROBBERY,40.866431,-73.909193,,,
70,ROBBERY,40.816666,-73.905107,,,
71,ROBBERY,40.84638155,-73.90945594,,,
72,ROBBERY,40.870034,-73.903111,,,
73,ROBBERY,40.840323,-73.89964,,,
74,ROBBERY,40.833231,-73.890222,,,
75,ROBBERY,40.876445,-73.886932,,,
76,ROBBERY,40.832163,-73.880008,,,
77,ROBBERY,40.804008,-73.878333,,,
78,ROBBERY,40.878716,-73.843758,,,
79,ROBBERY,40.86280366,-73.84538159,,,
80,ROBBERY,40.820891,-73.842165,,,
81,ROBBERY,40.82690902,-73.93102151,,,
82,MURDER & NON-NEGL. MANSLAUGHTER,40.838167,-73.927353,,,
83,ROBBERY,40.81103295,-73.92148659,,,
84,RAPE,40.81035186,-73.92494233,,,
85,ROBBERY,40.809443,-73.922643,,,
86,RAPE,40.82227104,-73.91169778,,,
87,RAPE,40.82227104,-73.91169778,,,
88,ROBBERY,40.856878,-73.903197,,,
89,ROBBERY,40.834196,-73.905274,,,
90,ROBBERY,40.85855,-73.903236,,,
91,ROBBERY,40.846588,-73.895768,,,
92,ROBBERY,40.862158,-73.890743,,,
93,ROBBERY,40.86487,-73.894047,,,
94,ROBBERY,40.870879,-73.88012,,,
95,ROBBERY,40.868146,-73.859062,,,
96,ROBBERY,40.821923,-73.866938,,,
97,ROBBERY,40.816541,-73.867664,,,
98,ROBBERY,40.88195875,-73.86032672,,,
99,ROBBERY,40.822622,-73.930942,,,
100,RAPE,40.81035186,-73.92494233,,,
101,ROBBERY,40.80718672,-73.9242798,,,
102,ROBBERY,40.828667,-73.92545,,,
103,ROBBERY,40.83308781,-73.91903218,,,
104,ROBBERY,40.816884,-73.916377,,,
105,RAPE,40.8441566,-73.90060545,,,
106,ROBBERY,40.863272,-73.900678,,,
107,ROBBERY,40.84240365,-73.90501592,,,
108,ROBBERY,40.857762,-73.894606,,,
109,ROBBERY,40.86478,-73.895354,,,
110,ROBBERY,40.862517,-73.898259,,,
111,ROBBERY,40.87274,-73.884511,,,
112,ROBBERY,40.843652,-73.845442,,,
113,ROBBERY,40.888639,-73.842503,,,
114,ROBBERY,40.839207,-73.783495,,,
115,ROBBERY,40.850991,-73.909899,,,
116,ROBBERY,40.876683,-73.905048,,,
117,ROBBERY,40.823415,-73.901582,,,
118,ROBBERY,40.820283,-73.885134,,,
119,ROBBERY,40.853107,-73.883007,,,
120,RAPE,40.82291231,-73.8700413,,,
121,ROBBERY,40.820329,-73.86851,,,
122,ROBBERY,40.887049,-73.867793,,,
123,ROBBERY,40.837122,-73.867193,,,
124,ROBBERY,40.825781,-73.863538,,,
