OBJECTID,facname,Public Area,Public Area (supergroup),boro,Latitude,Longitude
98,STRIPPOLI SQUARE,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,QUEENS,40.75718633,-73.90757266
103,MOSHOLU LIBRARY,PUBLIC LIBRARIES,LIBRARIES,BRONX,40.87438275,-73.87839365
104,AQUEDUCT WALK,PARKS,PARKS AND PLAZAS,BRONX,40.86512705,-73.90216177
107,CROTONA PARK,PARKS,PARKS AND PLAZAS,BRONX,40.8400331,-73.89534671
109,DUBOS POINT WILDLIFE SANCTUARY,PRESERVES AND CONSERVATION AREAS,PARKS AND PLAZAS,QUEENS,40.60078195,-73.79100052
110,WAKEFIELD LIBRARY,PUBLIC LIBRARIES,LIBRARIES,BRONX,40.89109762,-73.85952283
123,DE MATTI PARK,PARKS,PARKS AND PLAZAS,STATEN ISLAND,40.61453272,-74.07418481
137,NEW UTRECHT LIBRARY,PUBLIC LIBRARIES,LIBRARIES,BROOKLYN,40.6080187,-74.0033411
140,GARDEN,GARDENS,PARKS AND PLAZAS,QUEENS,40.59701637,-73.76857927
149,PARK,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,BROOKLYN,40.68224923,-74.00263014
151,PETERS FIELD,PARKS,PARKS AND PLAZAS,QUEENS,40.70601481,-73.77483943
159,BRYAN PARK PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,BRONX,40.86217216,-73.89421776
179,GARDEN,GARDENS,PARKS AND PLAZAS,BRONX,40.82848998,-73.90625337
195,HERMON A. MACNEIL PARK,PARKS,PARKS AND PLAZAS,QUEENS,40.79305958,-73.85170668
196,BLEECKER PLAYGROUND,PARKS,PARKS AND PLAZAS,MANHATTAN,40.73635227,-74.00556527
202,HIGHLAWN LIBRARY,PUBLIC LIBRARIES,LIBRARIES,BROOKLYN,40.60568909,-73.98623034
203,CRYSTAL WELLS BLOCK ASSOCIATION,GARDENS,PARKS AND PLAZAS,BROOKLYN,40.67807463,-73.87539702
204,BENSONHURST PARK,RECREATION AND WATERFRONT SITES,PARKS AND PLAZAS,BROOKLYN,40.59651286,-74.00130225
