OBJECTID,Offense,BORO_NM,Latitude,Longitude
238261,ROBBERY,BROOKLYN,40.662315,-73.938653
238291,ROBBERY,BROOKLYN,40.670507,-73.929566
238328,ROBBERY,BRONX,40.816972,-73.921152
238373,ROBBERY,BROOKLYN,40.675142,-73.922632
238385,ROBBERY,BRONX,40.828648,-73.92323
238447,ROBBERY,BRONX,40.83658,-73.912146
238451,ROBBERY,BRONX,40.80964424,-73.91036567
238454,ROBBERY,QUEENS,40.771455,-73.906414
238486,ROBBERY,BRONX,40.832477,-73.904233
238490,ROBBERY,BROOKLYN,40.67786853,-73.90331424
238496,ROBBERY,BRONX,40.875083,-73.906141
238539,ROBBERY,BRONX,40.871544,-73.902398
238546,ROBBERY,BRONX,40.86275507,-73.90107874
238564,RAPE,QUEENS,40.70443503,-73.89378071
238570,ROBBERY,BRONX,40.86229713,-73.89841136
238575,ROBBERY,BROOKLYN,40.67439596,-73.8965093
238607,ROBBERY,BRONX,40.80641811,-73.88724097
238609,ROBBERY,BRONX,40.870942,-73.891499
238622,ROBBERY,BRONX,40.816024,-73.887384
238667,ROBBERY,BRONX,40.835047,-73.883895
238682,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.83602,-73.88206
238685,ROBBERY,BRONX,40.85334717,-73.88166696
238686,ROBBERY,BRONX,40.854253,-73.8848
238692,ROBBERY,BRONX,40.87289118,-73.88069206
238696,ROBBERY,BROOKLYN,40.686584,-73.879674
238710,ROBBERY,BROOKLYN,40.683233,-73.873652
238714,ROBBERY,BRONX,40.825181,-73.876469
238824,ROBBERY,BRONX,40.86221,-73.863624
238870,ROBBERY,BRONX,40.889846,-73.831222
238913,ROBBERY,BRONX,40.821267,-73.822294
238928,ROBBERY,QUEENS,40.699321,-73.806122
238929,ROBBERY,QUEENS,40.674671,-73.804956
238930,ROBBERY,QUEENS,40.702537,-73.81414
238937,ROBBERY,QUEENS,40.707233,-73.802508
238940,ROBBERY,QUEENS,40.70227388,-73.81152745
238963,ROBBERY,QUEENS,40.753207,-73.792904
238996,RAPE,QUEENS,40.76039614,-73.76750253
239008,ROBBERY,QUEENS,40.758606,-73.768447
239106,ROBBERY,BROOKLYN,40.619202,-74.02244
239191,ROBBERY,MANHATTAN,40.753303,-74.000079
239205,ROBBERY,MANHATTAN,40.747545,-73.993134
239233,ROBBERY,MANHATTAN,40.74538352,-73.99470933
239317,RAPE,MANHATTAN,40.72651564,-73.98829024
239349,RAPE,MANHATTAN,40.7372031,-73.9832726
239409,RAPE,MANHATTAN,40.75682017,-73.97114326
239412,ROBBERY,MANHATTAN,40.745396,-73.979408
239417,ROBBERY,MANHATTAN,40.757232,-73.968273
239546,ROBBERY,MANHATTAN,40.80068582,-73.95250703
239560,RAPE,BROOKLYN,40.64885075,-73.95101651
239607,ROBBERY,MANHATTAN,40.792617,-73.95023
239610,RAPE,MANHATTAN,40.7894633,-73.947634
239639,RAPE,MANHATTAN,40.82862324,-73.94384884
239651,ROBBERY,MANHATTAN,40.823048,-73.947394
239652,ROBBERY,MANHATTAN,40.82384,-73.9443
239659,ROBBERY,MANHATTAN,40.80777234,-73.94548329
239679,ROBBERY,MANHATTAN,40.82384,-73.9443
239689,ROBBERY,QUEENS,40.754616,-73.941834
239723,ROBBERY,MANHATTAN,40.848666,-73.937371
239748,ROBBERY,MANHATTAN,40.80572952,-73.93854235
239795,ROBBERY,BROOKLYN,40.687664,-73.931497
239830,ROBBERY,BRONX,40.830711,-73.931122
239891,ROBBERY,BROOKLYN,40.68262,-73.919939
239892,RAPE,BROOKLYN,40.69847382,-73.91776898
239943,ROBBERY,BRONX,40.811325,-73.915843
239951,ROBBERY,BRONX,40.813282,-73.913527
239988,ROBBERY,BRONX,40.885573,-73.909508
239998,ROBBERY,BRONX,40.836258,-73.911326
240041,ROBBERY,BROOKLYN,40.660106,-73.903903
240046,ROBBERY,BRONX,40.843091,-73.903901
240120,ROBBERY,BRONX,40.86682,-73.895878
240124,ROBBERY,BRONX,40.8155119,-73.89355504
240141,ROBBERY,BRONX,40.861615,-73.891222
240144,ROBBERY,QUEENS,40.72796,-73.891901
240170,ROBBERY,BRONX,40.869851,-73.89139
240180,ROBBERY,BROOKLYN,40.669559,-73.888577
240217,ROBBERY,QUEENS,40.756389,-73.877464
240224,ROBBERY,BRONX,40.824025,-73.873758
240234,ROBBERY,QUEENS,40.722565,-73.873354
240241,ROBBERY,QUEENS,40.750579,-73.870264
240249,RAPE,BROOKLYN,40.67135982,-73.88181102
240254,ROBBERY,BRONX,40.827617,-73.866807
240299,ROBBERY,BROOKLYN,40.654897,-73.867685
240305,ROBBERY,QUEENS,40.749918,-73.862239
240349,ROBBERY,QUEENS,40.67965877,-73.85439418
240358,ROBBERY,BRONX,40.847129,-73.844753
240432,ROBBERY,BRONX,40.8308903,-73.82728416
240539,RAPE,QUEENS,40.70723982,-73.79272673
240580,ROBBERY,QUEENS,40.66348515,-73.7473582
240589,ROBBERY,QUEENS,40.66159732,-73.73660624
240617,ROBBERY,STATEN ISLAND,40.562163,-74.174358
240691,ROBBERY,BROOKLYN,40.631578,-74.023272
240727,ROBBERY,BROOKLYN,40.677349,-74.011549
240749,ROBBERY,MANHATTAN,40.73384,-73.999604
240795,ROBBERY,BROOKLYN,40.61339,-73.999869
240806,ROBBERY,BROOKLYN,40.69373,-73.99830873
240861,ROBBERY,MANHATTAN,40.753056,-73.996546
240905,ROBBERY,BROOKLYN,40.683161,-73.983395
240911,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.577547,-73.987117
240913,ROBBERY,MANHATTAN,40.715156,-73.98709
240919,ROBBERY,BROOKLYN,40.691005,-73.983456
240944,ROBBERY,MANHATTAN,40.747463,-73.985271
240989,ROBBERY,MANHATTAN,40.749011,-73.974265
241019,RAPE,BROOKLYN,40.63059985,-73.97370532
241025,ROBBERY,MANHATTAN,40.752378,-73.973274
241095,ROBBERY,MANHATTAN,40.758645,-73.962679
241097,ROBBERY,MANHATTAN,40.815975,-73.957291
241116,ROBBERY,BROOKLYN,40.597359,-73.959979
241155,ROBBERY,MANHATTAN,40.806247,-73.951756
241223,ROBBERY,MANHATTAN,40.822599,-73.944344
241270,ROBBERY,BROOKLYN,40.631928,-73.943194
241310,ROBBERY,BROOKLYN,40.669175,-73.938042
241358,ROBBERY,BROOKLYN,40.692396,-73.929446
241515,ROBBERY,BRONX,40.852408,-73.919896
241534,ROBBERY,BRONX,40.846856,-73.916595
241567,ROBBERY,QUEENS,40.75031,-73.907255
241577,ROBBERY,BRONX,40.86118,-73.906354
241583,ROBBERY,BROOKLYN,40.63835097,-73.90888428
241587,ROBBERY,BROOKLYN,40.700922,-73.911995
241588,ROBBERY,BRONX,40.84825367,-73.90974617
241602,ROBBERY,QUEENS,40.699489,-73.905138
241618,ROBBERY,BRONX,40.81603216,-73.90808104
241645,ROBBERY,BRONX,40.861693,-73.901881
241651,ROBBERY,BROOKLYN,40.67034823,-73.8974204
241657,ROBBERY,BRONX,40.81969376,-73.90160159
241715,ROBBERY,BRONX,40.841374,-73.89788
241717,ROBBERY,QUEENS,40.716207,-73.886507
241718,ROBBERY,BROOKLYN,40.638366,-73.882646
241744,ROBBERY,BRONX,40.841992,-73.892002
241762,ROBBERY,BRONX,40.838896,-73.881595
241780,ROBBERY,QUEENS,40.7672019,-73.88781639
241781,ROBBERY,BRONX,40.828402,-73.888575
241799,ROBBERY,BRONX,40.83958897,-73.88267806
241807,RAPE,BROOKLYN,40.67135982,-73.88181102
241934,ROBBERY,BRONX,40.841322,-73.843099
241973,ROBBERY,QUEENS,40.658337,-73.839665
241980,ROBBERY,QUEENS,40.582307,-73.836412
242262,ROBBERY,STATEN ISLAND,40.63965233,-74.07550486
242426,ROBBERY,BROOKLYN,40.701642,-73.995486
242437,ROBBERY,BROOKLYN,40.685654,-73.989807
242476,ROBBERY,BROOKLYN,40.690218,-73.984251
242496,ROBBERY,MANHATTAN,40.749113,-73.986165
242532,ROBBERY,BROOKLYN,40.687025,-73.982024
242550,RAPE,BROOKLYN,40.63059985,-73.97370532
242613,ROBBERY,BROOKLYN,40.575674,-73.963474
242717,ROBBERY,BROOKLYN,40.650693,-73.951924
242814,ROBBERY,BROOKLYN,40.718095,-73.940382
242825,ROBBERY,MANHATTAN,40.83123,-73.943226
242845,ROBBERY,MANHATTAN,40.832686,-73.93967743
242865,ROBBERY,MANHATTAN,40.827007,-73.938133
242919,ROBBERY,BRONX,40.83441704,-73.92853831
242923,ROBBERY,BROOKLYN,40.703786,-73.932875
242929,ROBBERY,BRONX,40.832601,-73.929564
242939,ROBBERY,MANHATTAN,40.852038,-73.931745
242952,ROBBERY,BRONX,40.841303,-73.922816
242968,ROBBERY,BROOKLYN,40.630659,-73.925691
242998,ROBBERY,MANHATTAN,40.862763,-73.921553
242999,ROBBERY,BROOKLYN,40.662511,-73.927011
243019,ROBBERY,BRONX,40.815698,-73.91923
243047,ROBBERY,BRONX,40.830989,-73.922894
243065,ROBBERY,QUEENS,40.766722,-73.912691
243078,ROBBERY,BROOKLYN,40.702642,-73.914993
243080,ROBBERY,BRONX,40.84623986,-73.91817764
243118,ROBBERY,QUEENS,40.782537,-73.914954
243165,ROBBERY,BRONX,40.832477,-73.904233
243191,ROBBERY,BROOKLYN,40.663314,-73.903748
243193,ROBBERY,BROOKLYN,40.66785456,-73.90538705
243223,ROBBERY,QUEENS,40.75000289,-73.89922864
243232,ROBBERY,BRONX,40.855675,-73.90104
243234,RAPE,BRONX,40.8441566,-73.90060545
243268,ROBBERY,BRONX,40.870942,-73.891499
243277,ROBBERY,BRONX,40.82211871,-73.89687934
243312,ROBBERY,BRONX,40.831323,-73.88478
243324,ROBBERY,BRONX,40.875028,-73.886341
243382,ROBBERY,BROOKLYN,40.67110661,-73.88143309
243420,ROBBERY,BRONX,40.87144091,-73.86715728
243545,ROBBERY,BRONX,40.898546,-73.842969
243550,ROBBERY,BRONX,40.83388923,-73.85465292
243553,ROBBERY,BRONX,40.856773,-73.841442
243678,ROBBERY,QUEENS,40.745644,-73.814063
243694,ROBBERY,QUEENS,40.705608,-73.79209
243933,ROBBERY,MANHATTAN,40.723109,-74.009594
243945,ROBBERY,BROOKLYN,40.64468903,-74.00358184
243958,ROBBERY,MANHATTAN,40.709288,-74.008656
243997,ROBBERY,MANHATTAN,40.715488,-73.993836
244099,ROBBERY,MANHATTAN,40.749113,-73.986165
244105,ROBBERY,MANHATTAN,40.718403,-73.985418
244114,ROBBERY,BROOKLYN,40.646096,-73.982233
244163,ROBBERY,MANHATTAN,40.747431,-73.983201
244317,ROBBERY,BROOKLYN,40.68620429,-73.95073523
244401,ROBBERY,MANHATTAN,40.834995,-73.944197
244429,ROBBERY,QUEENS,40.750351,-73.940235
244535,ROBBERY,MANHATTAN,40.809178,-73.936037
244565,ROBBERY,QUEENS,40.744785,-73.925015
244577,ROBBERY,QUEENS,40.73254158,-73.9255409
244581,ROBBERY,BROOKLYN,40.700504,-73.929411
244582,ROBBERY,BRONX,40.82283997,-73.92875669
244643,RAPE,BRONX,40.83784212,-73.91962775
244663,ROBBERY,BROOKLYN,40.701039,-73.920101
244679,ROBBERY,MANHATTAN,40.868684,-73.918077
244688,ROBBERY,QUEENS,40.744848,-73.910066
244701,ROBBERY,BRONX,40.824259,-73.909295
244737,ROBBERY,BROOKLYN,40.67475673,-73.9110769
244751,ROBBERY,BROOKLYN,40.67213,-73.911217
244764,ROBBERY,BROOKLYN,40.6700964,-73.90796854
244824,ROBBERY,BROOKLYN,40.675614,-73.899251
244860,ROBBERY,BRONX,40.83647982,-73.89772801
244870,RAPE,BRONX,40.8441566,-73.90060545
244880,ROBBERY,BRONX,40.832507,-73.896583
244915,ROBBERY,BRONX,40.8605215,-73.89256474
244930,ROBBERY,BROOKLYN,40.664545,-73.890103
244955,ROBBERY,BRONX,40.87974871,-73.8846612
244963,ROBBERY,BROOKLYN,40.67445,-73.887495
245021,RAPE,BRONX,40.86947048,-73.8798608
245032,ROBBERY,BRONX,40.83176412,-73.87514305
245058,ROBBERY,BRONX,40.86015,-73.870732
245059,ROBBERY,BRONX,40.816541,-73.867664
245069,ROBBERY,BROOKLYN,40.673906,-73.868679
245072,ROBBERY,BRONX,40.87739339,-73.86649088
245098,ROBBERY,BROOKLYN,40.671065,-73.861774
245101,ROBBERY,QUEENS,40.758894,-73.861193
245110,ROBBERY,BRONX,40.833723,-73.856192
245155,ROBBERY,BRONX,40.852068,-73.853332
245197,ROBBERY,BRONX,40.864393,-73.829709
245262,ROBBERY,QUEENS,40.673085,-73.810414
245288,ROBBERY,QUEENS,40.685982,-73.825494
245378,ROBBERY,QUEENS,40.68378589,-73.76974049
245381,ROBBERY,QUEENS,40.66563558,-73.75816027
245405,ROBBERY,QUEENS,40.70413037,-73.76983252
245453,ROBBERY,STATEN ISLAND,40.582305,-74.169067
245560,ROBBERY,MANHATTAN,40.730619,-74.002644
245578,ROBBERY,BROOKLYN,40.673924,-74.005219
245638,ROBBERY,MANHATTAN,40.748454,-73.994329
245664,ROBBERY,BROOKLYN,40.60393,-73.991745
245747,ROBBERY,MANHATTAN,40.757308,-73.987878
245813,ROBBERY,MANHATTAN,40.743163,-73.976983
245848,ROBBERY,MANHATTAN,40.751103,-73.975246
245854,ROBBERY,MANHATTAN,40.795642,-73.971057
245881,ROBBERY,MANHATTAN,40.78347707,-73.96475737
245925,ROBBERY,MANHATTAN,40.81552654,-73.95971825
245926,ROBBERY,BROOKLYN,40.649936,-73.961597
245937,ROBBERY,MANHATTAN,40.76879702,-73.95836382
245952,ROBBERY,QUEENS,40.74308015,-73.9547366
245963,ROBBERY,BROOKLYN,40.690542,-73.955338
245974,ROBBERY,MANHATTAN,40.791962,-73.949653
245997,ROBBERY,MANHATTAN,40.76801,-73.954376
246037,ROBBERY,BROOKLYN,40.647954,-73.948289
246198,ROBBERY,BROOKLYN,40.688794,-73.93471
246218,ROBBERY,BROOKLYN,40.684536,-73.929381
246338,ROBBERY,QUEENS,40.7431564,-73.9187012
246446,ROBBERY,BROOKLYN,40.63762096,-73.90561367
246489,ROBBERY,BROOKLYN,40.664861,-73.90419
246535,ROBBERY,QUEENS,40.734127,-73.901511
246537,ROBBERY,BRONX,40.842565,-73.89474
246539,ROBBERY,BROOKLYN,40.66965281,-73.89331198
246566,ROBBERY,QUEENS,40.742219,-73.899336
246645,ROBBERY,BRONX,40.836327,-73.884678
246648,ROBBERY,QUEENS,40.74579333,-73.88548859
246665,ROBBERY,BROOKLYN,40.67575,-73.883067
246678,ROBBERY,BRONX,40.881746,-73.882354
246731,ROBBERY,BROOKLYN,40.677077,-73.873888
246732,ROBBERY,BROOKLYN,40.668611,-73.868785
246759,ROBBERY,BRONX,40.898926,-73.870913
246784,ROBBERY,BROOKLYN,40.66778375,-73.86241897
246810,ROBBERY,BRONX,40.904557,-73.849717
246928,ROBBERY,BRONX,40.87517968,-73.83751703
246935,ROBBERY,QUEENS,40.69293,-73.808457
246946,ROBBERY,QUEENS,40.669137,-73.813088
246958,ROBBERY,QUEENS,40.702396,-73.808183
246976,ROBBERY,QUEENS,40.704373,-73.783275
247001,ROBBERY,QUEENS,40.70608685,-73.80849419
247028,ROBBERY,QUEENS,40.69600291,-73.79748082
247034,ROBBERY,QUEENS,40.713132,-73.778635
247041,ROBBERY,QUEENS,40.728524,-73.783262
247065,ROBBERY,QUEENS,40.652537,-73.74304
247084,ROBBERY,STATEN ISLAND,40.62156431,-74.16848285
247115,ROBBERY,STATEN ISLAND,40.611323,-74.159715
247204,ROBBERY,BROOKLYN,40.687616,-74.000963
247210,ROBBERY,MANHATTAN,40.718181,-74.00076
247231,ROBBERY,BROOKLYN,40.64504317,-73.99963965
247233,ROBBERY,MANHATTAN,40.73066902,-73.99885262
247253,ROBBERY,MANHATTAN,40.756218,-73.994244
247256,ROBBERY,BROOKLYN,40.574162,-73.995142
247276,ROBBERY,MANHATTAN,40.75723226,-73.98979219
247285,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,40.73443438,-73.98990393
247332,ROBBERY,MANHATTAN,40.758506,-73.990717
247368,ROBBERY,MANHATTAN,40.756635,-73.98837
247388,ROBBERY,BROOKLYN,40.690427,-73.984768
