OBJECTID,Complaint ID,Offense,Latitude,Longitude,Borough,Public Area
209,271772343,ROBBERY,40.597176,-74.085176,,
210,271757495,ROBBERY,40.62166,-74.071903,,
211,271755367,ROBBERY,40.62873698,-74.07447658,,
212,273035030H1,MURDER & NON-NEGL. MANSLAUGHTER,40.64015888,-74.13171207,,
213,271804604,ROBBERY,40.50936,-74.247188,,
214,271826173,ROBBERY,40.624707,-74.162813,,
215,271894148,ROBBERY,40.632336,-74.146537,,
216,271858743,ROBBERY,40.601727,-74.192701,,
217,271866431,ROBBERY,40.540629,-74.17661,,
218,271996534,ROBBERY,40.623238,-74.149217,,
219,272100641,ROBBERY,40.6236888,-74.15065779,,
220,271996533,ROBBERY,40.640274,-74.134809,,
221,272096922H1,MURDER & NON-NEGL. MANSLAUGHTER,40.644294,-74.098423,,
222,272144089,ROBBERY,40.645434,-74.080804,,
223,272202804,ROBBERY,40.61243853,-74.13230569,,
224,272283075,ROBBERY,40.632165,-74.141903,,
225,272421283,ROBBERY,40.625526,-74.135102,,
226,272428006,ROBBERY,40.604079,-74.128414,,
227,272435883,ROBBERY,40.633098,-74.086445,,
228,272449502,ROBBERY,40.634688,-74.115874,,
229,272498240,ROBBERY,40.596053,-74.062071,,
230,272561989,ROBBERY,40.549539,-74.150735,,
231,272623331,ROBBERY,40.638222,-74.079249,,
232,272664352,ROBBERY,40.63776,-74.076476,,
233,272672343,ROBBERY,40.59603,-74.080232,,
234,272805043,ROBBERY,40.625247,-74.144534,,
235,272805041,ROBBERY,40.63666,-74.12975,,
236,273118571,ROBBERY,40.59426476,-74.07907949,,
237,273093267,ROBBERY,40.637813,-74.079688,,
238,273107777,ROBBERY,40.629876,-74.076705,,
239,273113122,ROBBERY,40.575382,-74.104812,,
240,273194088,ROBBERY,40.60211212,-74.18783328,,
241,273232741,ROBBERY,40.636139,-74.112523,,
242,273350077,ROBBERY,40.625819,-74.078759,,
243,273390568,ROBBERY,40.640659,-74.131333,,
244,273367658,ROBBERY,40.623977,-74.081548,,
245,273434947,ROBBERY,40.616325,-74.172339,,
246,273460707,ROBBERY,40.623933,-74.123371,,
247,274090896H1,MURDER & NON-NEGL. MANSLAUGHTER,40.638977,-74.171252,,
248,273502597,ROBBERY,40.62653009,-74.16050147,,
249,273509304,RAPE,40.57428569,-74.10591441,,
250,273567681,ROBBERY,40.636706,-74.145174,,
251,273813098,RAPE,40.62318838,-74.14923769,,
252,273571489,ROBBERY,40.638005,-74.133351,,
253,273678498,ROBBERY,40.638142,-74.075912,,
254,273777174,ROBBERY,40.635775,-74.139329,,
255,273762248,ROBBERY,40.643566,-74.074001,,
256,273794644,ROBBERY,40.6130779,-74.12255699,,
257,273762249,ROBBERY,40.63965233,-74.07550486,,
258,273848065,ROBBERY,40.633098,-74.086445,,
259,273888539,ROBBERY,40.628448,-74.14603,,
260,273934745,ROBBERY,40.625462,-74.151743,,
261,273928183,ROBBERY,40.626851,-74.163438,,
262,273928184,ROBBERY,40.566913,-74.10553,,
263,274115682,ROBBERY,40.582305,-74.169067,,
264,274111454,ROBBERY,40.604188,-74.12076,,
265,274111453,ROBBERY,40.63162,-74.076166,,
266,274157979,ROBBERY,40.626851,-74.163438,,
267,274155918,ROBBERY,40.616409,-74.079354,,
268,274164574,ROBBERY,40.62887,-74.073928,,
269,274192333,ROBBERY,40.626851,-74.163438,,
270,274218337,ROBBERY,40.59859,-74.081457,,
271,275783819,RAPE,40.62318838,-74.14923769,,
272,274452480,ROBBERY,40.632736,-74.096419,,
273,274464086,ROBBERY,40.63278555,-74.13711256,,
274,274506913,ROBBERY,40.52313777,-74.21623925,,
275,274616739,RAPE,40.62318838,-74.14923769,,
276,274729270,ROBBERY,40.623796,-74.073767,,
277,274873182H1,MURDER & NON-NEGL. MANSLAUGHTER,40.614679,-74.098873,,
278,274853147,ROBBERY,40.639106,-74.079939,,
279,275022162,ROBBERY,40.587505,-74.168164,,
280,274981812,ROBBERY,40.618806,-74.082327,,
281,274942436,ROBBERY,40.61165,-74.067426,,
282,275040505,ROBBERY,40.610311,-74.113962,,
283,275161216,ROBBERY,40.62866416,-74.15550979,,
284,276069177,ROBBERY,40.627228,-74.07508,,
285,275355202,ROBBERY,40.62495773,-74.14576746,,
286,275597028H1,MURDER & NON-NEGL. MANSLAUGHTER,40.53635061,-74.15158584,,
287,275597027H1,MURDER & NON-NEGL. MANSLAUGHTER,40.621203,-74.083249,,
288,275570320,ROBBERY,40.604872,-74.120808,,
289,275656949,ROBBERY,40.545498,-74.201094,,
290,275647974,ROBBERY,40.637257,-74.076649,,
291,275672821,ROBBERY,40.647119,-74.088178,,
292,275934737,ROBBERY,40.6419,-74.115421,,
293,275928995,ROBBERY,40.63399818,-74.09726711,,
294,277986371,RAPE,40.64472094,-74.07703272,,
295,276011161,ROBBERY,40.626237,-74.175155,,
