OBJECTID,Offense,Latitude,Longitude,facname,Public Area,Public Area (supergroup)
52,ROBBERY,40.70777151,-74.01296309,,,
53,ROBBERY,40.719264,-74.006283,,,
54,ROBBERY,40.777247,-73.986346,,,
55,ROBBERY,40.718009,-73.989853,,,
56,ROBBERY,40.762626,-73.972115,,,
57,ROBBERY,40.81445,-73.959195,,,
58,ROBBERY,40.78085756,-73.95881485,,,
59,ROBBERY,40.79883293,-73.95201714,,,
60,MURDER & NON-NEGL. MANSLAUGHTER,40.786582,-73.940798,,,
61,ROBBERY,40.864049,-73.926315,,,
62,ROBBERY,40.73066902,-73.99885262,,,
63,ROBBERY,40.751856,-73.993706,,,
64,ROBBERY,40.747586,-73.989392,,,
65,ROBBERY,40.75537384,-73.98744633,,,
66,ROBBERY,40.757025,-73.986236,,,
67,ROBBERY,40.778766,-73.97595,,,
68,ROBBERY,40.79997873,-73.94273381,,,
69,ROBBERY,40.791907,-73.944429,,,
70,ROBBERY,40.802107,-73.938028,,,
71,ROBBERY,40.80175375,-73.93120289,,,
72,ROBBERY,40.866545,-73.926355,,,
73,ROBBERY,40.751856,-73.993706,,,
74,ROBBERY,40.756218,-73.994244,,,
75,ROBBERY,40.75757,-73.989544,,,
76,ROBBERY,40.734909,-73.986004,,,
77,ROBBERY,40.803248,-73.967358,,,
78,ROBBERY,40.756789,-73.97111,,,
79,ROBBERY,40.826765,-73.950203,,,
80,ROBBERY,40.825448,-73.951168,,,
81,ROBBERY,40.82384,-73.9443,,,
82,ROBBERY,40.816626,-73.940878,,,
83,ROBBERY,40.819408,-73.940703,,,
84,RAPE,40.84078111,-73.93624538,,,
85,ROBBERY,40.826939,-73.93892,,,
86,ROBBERY,40.76142,-73.999734,,,
87,ROBBERY,40.743716,-73.999632,,,
88,ROBBERY,40.73443438,-73.98990393,,,
89,ROBBERY,40.75723226,-73.98979219,,,
90,ROBBERY,40.742229,-73.99119,,,
91,ROBBERY,40.758178,-73.988003,,,
92,ROBBERY,40.757656,-73.985776,,,
93,ROBBERY,40.746844,-73.985722,,,
94,ROBBERY,40.74579673,-73.98228014,,,
95,ROBBERY,40.76976514,-73.97454426,,,
96,ROBBERY,40.82025836,-73.95948054,,,
97,ROBBERY,40.848666,-73.937371,,,
98,ROBBERY,40.825355,-73.938068,,,
99,ROBBERY,40.809014,-73.942472,,,
100,ROBBERY,40.850156,-73.933927,,,
101,ROBBERY,40.847678,-73.934933,,,
102,ROBBERY,40.71036549,-74.01123223,,,
103,ROBBERY,40.737546,-74.004348,,,
104,ROBBERY,40.737212,-74.005182,,,
105,ROBBERY,40.73755272,-74.00568697,,,
106,ROBBERY,40.747545,-73.993134,,,
107,ROBBERY,40.724044,-73.996179,,,
108,ROBBERY,40.750423,-73.98928,,,
109,ROBBERY,40.836267,-73.94855,,,
110,ROBBERY,40.799637,-73.945103,,,
111,ROBBERY,40.796781,-73.939402,,,
112,ROBBERY,40.712794,-74.007445,,,
113,ROBBERY,40.710774,-73.996631,,,
114,ROBBERY,40.743876,-73.992096,,,
115,ROBBERY,40.75535,-73.989309,,,
116,ROBBERY,40.727885,-73.985076,,,
117,ROBBERY,40.786052,-73.976208,,,
118,ROBBERY,40.81698,-73.953637,,,
119,ROBBERY,40.780486,-73.954862,,,
120,ROBBERY,40.79062729,-73.94243489,,,
121,ROBBERY,40.820031,-73.94025,,,
122,ROBBERY,40.813126,-73.941575,,,
123,ROBBERY,40.867226,-73.920912,,,
124,ROBBERY,40.73327,-73.999811,,,
125,ROBBERY,40.750287,-73.996709,,,
126,ROBBERY,40.758506,-73.990717,,,
127,ROBBERY,40.75712499,-73.97190691,,,
128,ROBBERY,40.787564,-73.953918,,,
129,ROBBERY,40.813093,-73.953119,,,
130,ROBBERY,40.873944,-73.908788,,,
131,ROBBERY,40.759759,-73.989811,,,
132,ROBBERY,40.73397843,-73.98667818,,,
133,ROBBERY,40.742278,-73.980635,,,
134,RAPE,40.76699564,-73.9639223,,,
