OBJECTID,CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon,the_geom,the_geom_webmercator,facname,addressnum,streetname,address,city,zipcode,factype,facsubgrp,facgroup,facdomain,servarea,opname,opabbrev,optype,overagency,overabbrev,overlevel,capacity,captype,boro,bin,bbl,xcoord,ycoord,cd,nta2010,nta2020,council,ct2010,ct2020,borocode,schooldist,policeprct,datasource,uid
25,262122253,2023-01-18,18:30:00,2023-01-18,18:40:00,120,2023-01-18,105,ROBBERY,399,"ROBBERY,COMMERCIAL UNCLASSIFIED",COMPLETED,FELONY,STATEN ISLAND,INSIDE,GROCERY/BODEGA,N.Y. POLICE DEPT,(null),(null),962202,168543,40.629262,-74.07943,"(40.629262, -74.07943)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,262254386,2023-01-20,19:45:00,2023-01-20,20:00:00,122,2023-01-20,105,ROBBERY,390,"ROBBERY,HOME INVASION",COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,(null),(null),958402,147554,40.571641,-74.09304,"(40.571641, -74.09304)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,262235449,2023-01-20,9:05:00,2023-01-20,10:05:00,120,2023-01-20,105,ROBBERY,394,"ROBBERY,LICENSED FOR HIRE VEHICLE",COMPLETED,FELONY,STATEN ISLAND,FRONT OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,(null),(null),959780,175051,40.647119,-74.088178,"(40.647119, -74.088178)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,262242179,2023-01-20,16:00:00,2023-01-20,16:30:00,120,2023-01-20,105,ROBBERY,390,"ROBBERY,HOME INVASION",COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,(null),(null),957113,172336,40.639659,-74.097776,"(40.639659, -74.097776)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,262325373,2023-01-22,19:20:00,2023-01-22,19:30:00,122,2023-01-22,105,ROBBERY,377,"ROBBERY,BODEGA/CONVENIENCE STORE",COMPLETED,FELONY,STATEN ISLAND,INSIDE,GROCERY/BODEGA,N.Y. POLICE DEPT,(null),(null),942484,135131,40.537482,-74.15026,"(40.537482, -74.15026)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,262426205,2023-01-24,18:00:00,2023-01-24,18:30:00,121,2023-01-24,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,STATEN ISLAND,(null),STREET,N.Y. POLICE DEPT,(null),(null),943774,170504,40.63457814,-74.14583171,"(40.63457814, -74.14583171)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,262494382,2023-01-25,18:10:00,2023-01-25,18:15:00,120,2023-01-25,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,STATEN ISLAND,INSIDE,(null),N.Y. POLICE DEPT,(null),(null),963180,173627,40.64322,-74.075921,"(40.64322, -74.075921)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,262506354,2023-01-25,22:55:00,2023-01-25,22:58:00,122,2023-01-26,105,ROBBERY,377,"ROBBERY,BODEGA/CONVENIENCE STORE",COMPLETED,FELONY,STATEN ISLAND,INSIDE,GROCERY/BODEGA,N.Y. POLICE DEPT,(null),(null),965438,154859,40.591709,-74.067734,"(40.591709, -74.067734)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,262528533,2023-01-26,4:25:00,2023-01-26,04:34:00,121,2023-01-26,104,RAPE,157,RAPE 1,COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,(null),(null),942822,166353,40.62318838,-74.14923769,"(40.6231883776008, -74.1492376947323)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,262591167,2023-01-27,4:30:00,2023-01-27,04:35:00,120,2023-01-27,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,(null),(null),951456,170457,40.634484,-74.118152,"(40.634484, -74.118152)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
