OBJECTID,Offense,Latitude,Longitude,facname,Public Area,Public Area (supergroup)
209,ROBBERY,40.745153,-73.887835,,,
210,ROBBERY,40.738822,-73.888225,,,
211,ROBBERY,40.742475,-73.872866,,,
212,RAPE,40.74348126,-73.87400354,,,
213,ROBBERY,40.721709,-73.844579,,,
214,ROBBERY,40.67313141,-73.73561977,,,
215,ROBBERY,40.749999,-73.939424,,,
216,ROBBERY,40.740018,-73.917428,,,
217,ROBBERY,40.75672044,-73.91421245,,,
218,ROBBERY,40.742645,-73.903593,,,
219,ROBBERY,40.748566,-73.869053,,,
220,ROBBERY,40.763056,-73.862706,,,
221,ROBBERY,40.756032,-73.828536,,,
222,ROBBERY,40.714837,-73.831845,,,
223,ROBBERY,40.708091,-73.801467,,,
224,ROBBERY,40.755739,-73.814205,,,
225,RAPE,40.67998074,-73.77623391,,,
226,ROBBERY,40.763933,-73.771149,,,
227,ROBBERY,40.738388,-73.919651,,,
228,ROBBERY,40.706098,-73.913249,,,
229,ROBBERY,40.70766009,-73.91343519,,,
230,ROBBERY,40.696973,-73.903654,,,
231,ROBBERY,40.747425,-73.872971,,,
232,ROBBERY,40.74786885,-73.86562804,,,
233,ROBBERY,40.744213,-73.858778,,,
234,ROBBERY,40.75008207,-73.81657135,,,
235,ROBBERY,40.75968494,-73.82116531,,,
236,ROBBERY,40.72095666,-73.80934253,,,
237,ROBBERY,40.694306,-73.801765,,,
238,ROBBERY,40.767871,-73.790988,,,
239,RAPE,40.67998074,-73.77623391,,,
240,ROBBERY,40.65763415,-73.74902385,,,
241,ROBBERY,40.726971,-73.907728,,,
242,ROBBERY,40.728148,-73.871067,,,
243,ROBBERY,40.75196155,-73.85455376,,,
244,ROBBERY,40.6806672,-73.84271766,,,
245,RAPE,40.70723982,-73.79272673,,,
246,ROBBERY,40.75986,-73.7827,,,
247,ROBBERY,40.593761,-73.784418,,,
248,ROBBERY,40.75603231,-73.79985745,,,
249,ROBBERY,40.674323,-73.789208,,,
250,ROBBERY,40.755158,-73.919895,,,
251,ROBBERY,40.740952,-73.900088,,,
252,ROBBERY,40.748004,-73.894537,,,
253,ROBBERY,40.68434,-73.857182,,,
254,ROBBERY,40.743251,-73.857849,,,
255,ROBBERY,40.765733,-73.827777,,,
256,ROBBERY,40.683823,-73.820945,,,
257,ROBBERY,40.728061,-73.737985,,,
258,ROBBERY,40.74823165,-73.94167753,,,
259,ROBBERY,40.761785,-73.924984,,,
260,RAPE,40.76949512,-73.91502417,,,
261,ROBBERY,40.765292,-73.913301,,,
262,ROBBERY,40.75328383,-73.90690796,,,
263,ROBBERY,40.753464,-73.907287,,,
264,ROBBERY,40.729981,-73.890355,,,
265,ROBBERY,40.786247,-73.835448,,,
266,RAPE,40.68239828,-73.84007216,,,
267,ROBBERY,40.664577,-73.841213,,,
268,ROBBERY,40.677597,-73.828216,,,
269,ROBBERY,40.667428,-73.759589,,,
270,ROBBERY,40.744246,-73.717208,,,
271,ROBBERY,40.753694,-73.938325,,,
272,ROBBERY,40.756159,-73.913011,,,
273,ROBBERY,40.723879,-73.906951,,,
274,ROBBERY,40.73532478,-73.86515899,,,
275,ROBBERY,40.758663,-73.830689,,,
276,ROBBERY,40.756716,-73.822813,,,
277,ROBBERY,40.760778,-73.826704,,,
278,ROBBERY,40.763042,-73.805979,,,
279,ROBBERY,40.704638,-73.81361,,,
280,ROBBERY,40.78243784,-73.77653815,,,
281,ROBBERY,40.710779,-73.78964,,,
282,ROBBERY,40.754204,-73.812791,,,
283,ROBBERY,40.74241686,-73.82781569,,,
284,ROBBERY,40.676567,-73.819433,,,
285,ROBBERY,40.686944,-73.818758,,,
286,ROBBERY,40.755369,-73.91807,,,
287,ROBBERY,40.700496,-73.900764,,,
288,ROBBERY,40.739197,-73.89015,,,
289,ROBBERY,40.75552303,-73.83339814,,,
290,ROBBERY,40.70906,-73.812879,,,
291,ROBBERY,40.740292,-73.815074,,,
292,ROBBERY,40.7463,-73.826141,,,
293,ROBBERY,40.697828,-73.795844,,,
294,ROBBERY,40.706931,-73.805544,,,
295,ROBBERY,40.691511,-73.779579,,,
296,RAPE,40.67998074,-73.77623391,,,
297,ROBBERY,40.592103,-73.787749,,,
298,ROBBERY,40.74278117,-73.733705,,,
299,ROBBERY,40.760378,-73.915094,,,
300,ROBBERY,40.747583,-73.884396,,,
301,ROBBERY,40.7471,-73.883841,,,
302,ROBBERY,40.737201,-73.877388,,,
303,ROBBERY,40.69551951,-73.86455792,,,
304,ROBBERY,40.785203,-73.841011,,,
305,ROBBERY,40.785566,-73.809479,,,
306,ROBBERY,40.739013,-73.792422,,,
307,ROBBERY,40.67553356,-73.81447271,,,
308,ROBBERY,40.707857,-73.798781,,,
309,ROBBERY,40.666561,-73.779765,,,
310,ROBBERY,40.593584,-73.776736,,,
