OBJECTID,Borough,Offense,Latitude,Longitude,Public Area
218,Staten Island,ROBBERY,40.623238,-74.149217,
219,Staten Island,ROBBERY,40.6236888,-74.15065779,
220,Staten Island,ROBBERY,40.640274,-74.134809,
221,Staten Island,MURDER,40.644294,-74.098423,
222,Staten Island,ROBBERY,40.645434,-74.080804,
223,Staten Island,ROBBERY,40.61243853,-74.13230569,
224,Staten Island,ROBBERY,40.632165,-74.141903,
225,Staten Island,ROBBERY,40.625526,-74.135102,
226,Staten Island,ROBBERY,40.604079,-74.128414,
227,Staten Island,ROBBERY,40.633098,-74.086445,
228,Staten Island,ROBBERY,40.634688,-74.115874,
229,Staten Island,ROBBERY,40.596053,-74.062071,
230,Staten Island,ROBBERY,40.549539,-74.150735,
231,Staten Island,ROBBERY,40.638222,-74.079249,
232,Staten Island,ROBBERY,40.63776,-74.076476,
233,Staten Island,ROBBERY,40.59603,-74.080232,
234,Staten Island,ROBBERY,40.625247,-74.144534,
235,Staten Island,ROBBERY,40.63666,-74.12975,
236,Staten Island,ROBBERY,40.59426476,-74.07907949,
237,Staten Island,ROBBERY,40.637813,-74.079688,
238,Staten Island,ROBBERY,40.629876,-74.076705,
239,Staten Island,ROBBERY,40.575382,-74.104812,
240,Staten Island,ROBBERY,40.60211212,-74.18783328,
241,Staten Island,ROBBERY,40.636139,-74.112523,
242,Staten Island,ROBBERY,40.625819,-74.078759,
243,Staten Island,ROBBERY,40.640659,-74.131333,
244,Staten Island,ROBBERY,40.623977,-74.081548,
245,Staten Island,ROBBERY,40.616325,-74.172339,
246,Staten Island,ROBBERY,40.623933,-74.123371,
247,Staten Island,MURDER,40.638977,-74.171252,
248,Staten Island,ROBBERY,40.62653009,-74.16050147,
249,Staten Island,RAPE,40.57428569,-74.10591441,
250,Staten Island,ROBBERY,40.636706,-74.145174,
251,Staten Island,RAPE,40.62318838,-74.14923769,
252,Staten Island,ROBBERY,40.638005,-74.133351,
253,Staten Island,ROBBERY,40.638142,-74.075912,
254,Staten Island,ROBBERY,40.635775,-74.139329,
255,Staten Island,ROBBERY,40.643566,-74.074001,
256,Staten Island,ROBBERY,40.6130779,-74.12255699,
257,Staten Island,ROBBERY,40.63965233,-74.07550486,
258,Staten Island,ROBBERY,40.633098,-74.086445,
259,Staten Island,ROBBERY,40.628448,-74.14603,
260,Staten Island,ROBBERY,40.625462,-74.151743,
261,Staten Island,ROBBERY,40.626851,-74.163438,
262,Staten Island,ROBBERY,40.566913,-74.10553,
263,Staten Island,ROBBERY,40.582305,-74.169067,
264,Staten Island,ROBBERY,40.604188,-74.12076,
265,Staten Island,ROBBERY,40.63162,-74.076166,
266,Staten Island,ROBBERY,40.626851,-74.163438,
267,Staten Island,ROBBERY,40.616409,-74.079354,
268,Staten Island,ROBBERY,40.62887,-74.073928,
269,Staten Island,ROBBERY,40.626851,-74.163438,
270,Staten Island,ROBBERY,40.59859,-74.081457,
271,Staten Island,RAPE,40.62318838,-74.14923769,
272,Staten Island,ROBBERY,40.632736,-74.096419,
273,Staten Island,ROBBERY,40.63278555,-74.13711256,
274,Staten Island,ROBBERY,40.52313777,-74.21623925,
275,Staten Island,RAPE,40.62318838,-74.14923769,
276,Staten Island,ROBBERY,40.623796,-74.073767,
277,Staten Island,MURDER ,40.614679,-74.098873,
278,Staten Island,ROBBERY,40.639106,-74.079939,
279,Staten Island,ROBBERY,40.587505,-74.168164,
280,Staten Island,ROBBERY,40.618806,-74.082327,
281,Staten Island,ROBBERY,40.61165,-74.067426,
282,Staten Island,ROBBERY,40.610311,-74.113962,
283,Staten Island,ROBBERY,40.62866416,-74.15550979,
284,Staten Island,ROBBERY,40.627228,-74.07508,
285,Staten Island,ROBBERY,40.62495773,-74.14576746,
286,Staten Island,MURDER ,40.53635061,-74.15158584,
287,Staten Island,MURDER,40.621203,-74.083249,
288,Staten Island,ROBBERY,40.604872,-74.120808,
289,Staten Island,ROBBERY,40.545498,-74.201094,
290,Staten Island,ROBBERY,40.637257,-74.076649,
291,Staten Island,ROBBERY,40.647119,-74.088178,
292,Staten Island,ROBBERY,40.6419,-74.115421,
293,Staten Island,ROBBERY,40.63399818,-74.09726711,
294,Staten Island,RAPE,40.64472094,-74.07703272,
295,Staten Island,ROBBERY,40.626237,-74.175155,
296,Staten Island,ROBBERY,40.612606,-74.083121,
297,Staten Island,ROBBERY,40.63057037,-74.13950741,
298,Staten Island,ROBBERY,40.619322,-74.083627,
299,Staten Island,ROBBERY,40.629309,-74.074579,
300,Staten Island,ROBBERY,40.61065032,-74.0841952,
301,Staten Island,RAPE,40.57428569,-74.10591441,
302,Staten Island,ROBBERY,40.59559763,-74.06312226,
303,Staten Island,ROBBERY,40.58855596,-74.15435786,
304,Staten Island,ROBBERY,40.53277,-74.192222,
305,Staten Island,RAPE,40.62318838,-74.14923769,
306,Staten Island,ROBBERY,40.629262,-74.07943,
307,Staten Island,ROBBERY,40.63484205,-74.13423444,
308,Staten Island,ROBBERY,40.635218,-74.168673,
309,Staten Island,ROBBERY,40.618152,-74.10507,
310,Staten Island,ROBBERY,40.557871,-74.155367,
311,Staten Island,ROBBERY,40.553185,-74.158714,
312,Staten Island,ROBBERY,40.612606,-74.083121,
313,Staten Island,ROBBERY,40.613717,-74.084818,
314,Staten Island,ROBBERY,40.61547,-74.081663,
315,Staten Island,ROBBERY,40.521618,-74.217048,
316,Staten Island,ROBBERY,40.637813,-74.079688,
317,Staten Island,ROBBERY,40.632736,-74.096419,
318,Staten Island,ROBBERY,40.6339552,-74.08574862,
319,Staten Island,ROBBERY,40.638805,-74.08747,
320,Staten Island,ROBBERY,40.640051,-74.078374,
321,Staten Island,ROBBERY,40.632736,-74.096419,
322,Staten Island,ROBBERY,40.639728,-74.083405,
323,Staten Island,ROBBERY,40.598261,-74.070417,
324,Staten Island,RAPE,40.64472094,-74.07703272,
325,Staten Island,ROBBERY,40.632172,-74.089875,
326,Staten Island,ROBBERY,40.64472094,-74.07703272,
327,Staten Island,ROBBERY,40.644731,-74.088948,
328,Staten Island,ROBBERY,40.643925,-74.078103,
329,Staten Island,ROBBERY,40.64351,-74.081569,
330,Staten Island,ROBBERY,40.640157,-74.088667,
331,Staten Island,ROBBERY,40.633098,-74.086445,
332,Staten Island,ROBBERY,40.6440286,-74.08194194,
333,Staten Island,ROBBERY,40.620388,-74.084434,
334,Staten Island,RAPE,40.64472094,-74.07703272,
335,Staten Island,RAPE,40.62318838,-74.14923769,
336,Staten Island,RAPE,40.62318838,-74.14923769,
337,Staten Island,ROBBERY,40.633064,-74.136827,
338,Staten Island,ROBBERY,40.616191,-74.104035,
339,Staten Island,ROBBERY,40.60180983,-74.12059529,
340,Staten Island,ROBBERY,40.542668,-74.208373,
341,Staten Island,RAPE,40.64472094,-74.07703272,
342,Staten Island,ROBBERY,40.623977,-74.081548,
343,Staten Island,ROBBERY,40.633648,-74.146127,
344,Staten Island,ROBBERY,40.643996,-74.076502,
345,Staten Island,ROBBERY,40.64479282,-74.08028168,
346,Staten Island,ROBBERY,40.62887,-74.073928,
347,Staten Island,ROBBERY,40.63681194,-74.13729378,
348,Staten Island,ROBBERY,40.61627704,-74.06774868,
349,Staten Island,ROBBERY,40.613195,-74.121034,
350,Staten Island,ROBBERY,40.632918,-74.155141,
351,Staten Island,RAPE,40.51203825,-74.24975495,
352,Staten Island,ROBBERY,40.64322,-74.075921,
353,Staten Island,ROBBERY,40.623238,-74.149217,
354,Staten Island,ROBBERY,40.643996,-74.076502,
355,Staten Island,ROBBERY,40.645288,-74.085547,
356,Staten Island,ROBBERY,40.57104102,-74.10918334,
357,Staten Island,ROBBERY,40.542668,-74.208373,
358,Staten Island,ROBBERY,40.59383,-74.086718,
359,Staten Island,ROBBERY,40.603415,-74.128749,
360,Staten Island,ROBBERY,40.644719,-74.081327,
361,Staten Island,ROBBERY,40.635738,-74.132124,
362,Staten Island,ROBBERY,40.576854,-74.117437,
363,Staten Island,ROBBERY,40.63274,-74.152082,
364,Staten Island,ROBBERY,40.614616,-74.084716,
365,Staten Island,ROBBERY,40.613121,-74.121981,
366,Staten Island,ROBBERY,40.638005,-74.133351,
367,Staten Island,,40.61453272,-74.07418481,PARKS
368,Staten Island,,40.51039165,-74.23040501,RECREATION AND WATERFRONT SITES
369,Staten Island,,40.59580191,-74.06302664,PUBLIC LIBRARIES
370,Staten Island,,40.59039493,-74.10113836,PUBLIC LIBRARIES
371,Staten Island,,40.63874795,-74.0838988,PARKS
372,Staten Island,,40.6365637,-74.16047118,PARKS
373,Staten Island,,40.57626674,-74.20338144,PRESERVES AND CONSERVATION AREAS
374,Staten Island,,40.60869014,-74.11957807,PARKS
375,Staten Island,,40.63929738,-74.12093436,CEMETERIES
376,Staten Island,,40.52690108,-74.16361518,GARDENS
377,Staten Island,,40.53839631,-74.18713697,RECREATION AND WATERFRONT SITES
378,Staten Island,,40.60641151,-74.14186022,PRESERVES AND CONSERVATION AREAS
379,Staten Island,,40.64356867,-74.07984294,RECREATION AND WATERFRONT SITES
380,Staten Island,,40.6410907,-74.08171819,PRESERVES AND CONSERVATION AREAS
381,Staten Island,,40.53405756,-74.19323522,PUBLIC LIBRARIES
382,Staten Island,,40.63095171,-74.09126516,"STREETSCAPES, PLAZAS, AND MALLS"
383,Staten Island,,40.50953037,-74.24410519,PUBLIC LIBRARIES
384,Staten Island,,40.59666529,-74.11986246,PRESERVES AND CONSERVATION AREAS
385,Staten Island,,40.52543495,-74.18494128,PRESERVES AND CONSERVATION AREAS
386,Staten Island,,40.60497656,-74.0790186,PRESERVES AND CONSERVATION AREAS
387,Staten Island,,40.54703087,-74.15179769,RECREATION AND WATERFRONT SITES
388,Staten Island,,40.5911601,-74.13105937,PRESERVES AND CONSERVATION AREAS
389,Staten Island,,40.62827922,-74.11756786,RECREATION AND WATERFRONT SITES
390,Staten Island,,40.54846167,-74.17394668,PRESERVES AND CONSERVATION AREAS
