,OBJECTID,facname,Public Area,Public Area (supergroup),Latitude,Longitude,geometry,RAPE,ROBBERY,MURDER & NON-NEGL. MANSLAUGHTER,Total Crimes
63,3795,CARLOS R. LILLO PARK,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,40.77063344,-73.89358787,POINT (4538566.153860011 -12472707.93661064),0,9,0,9
64,3796,LAURELTON PARKWAY,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,40.67740174,-73.73175709,POINT (4528187.64849022 -12408086.54398271),0,6,0,6
65,3797,BEACH 20TH ST PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,40.60327507,-73.75350154,POINT (4519935.90533162 -12416732.94409286),15,41,4,60
66,3798,CLEARVIEW'S TAIL,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,40.724589,-73.75546661,POINT (4533440.51024535 -12417514.88353798),0,14,0,14
67,3799,CROWLEY PLAYGROUND,Parks and Other Outdoor Areas,PARKS AND PLAZAS,40.72956158,-73.87961117,POINT (4533994.055318879 -12467101.95967641),0,25,0,25
68,3800,CEDAR GROVE PLAYGROUND,Parks and Other Outdoor Areas,PARKS AND PLAZAS,40.73616118,-73.82447014,POINT (4534728.719430318 -12445031.25526497),0,17,0,17
69,3801,POLICE OFFICER NICHOLAS DEMUTIIS PARK,Parks and Other Outdoor Areas,PARKS AND PLAZAS,40.681773,-73.83928308,POINT (4528674.254927546 -12450953.06806083),16,36,1,53
70,3802,CHAPPETTO SQUARE,Parks and Other Outdoor Areas,PARKS AND PLAZAS,40.77501588,-73.92239116,POINT (4539054.004849244 -12484275.72864917),0,9,0,9
71,3803,HOOVER - MANTON PLAYGROUNDS,Parks and Other Outdoor Areas,PARKS AND PLAZAS,40.71147247,-73.82123045,POINT (4531980.384804775 -12443736.81826162),0,14,0,14
72,3804,DOUGHBOY PARK,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,40.7457492,-73.90922194,POINT (4535796.052934433 -12478984.28979939),0,37,1,38
73,3805,GLENWOOD LANDING,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,40.77509454,-73.73997342,POINT (4539062.761240389 -12411352.33914615),0,0,0,0
74,3806,PARK,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,40.74204119,-73.89706121,POINT (4535383.279149378 -12474101.80872097),0,51,0,51
75,3807,RAINEY PARK,Parks and Other Outdoor Areas,PARKS AND PLAZAS,40.76633429,-73.94082279,POINT (4538087.574671168 -12491688.71289061),0,28,1,29
76,3808,BAYBRIDGE GREEN,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,40.78505147,-73.7862046,POINT (4540171.161617854 -12429758.12081183),0,1,0,1
77,3809,SEASIDE PLAYGROUND,Parks and Other Outdoor Areas,PARKS AND PLAZAS,40.58094916,-73.83137048,POINT (4517450.596398924 -12447789.16758883),0,1,0,1
78,3810,GEORGE EAGLE CARR COMMUNITY GARDEN,Parks and Other Outdoor Areas,PARKS AND PLAZAS,40.70370925,-73.80705649,POINT (4531116.18710746 -12438076.49470646),0,124,1,125
79,3811,MENTONE PLAYGROUND,UNDEVELOPED,PARKS AND PLAZAS,40.66623094,-73.74288408,POINT (4526944.120722466 -12412509.6422323),0,13,0,13
80,3812,MARIE CURIE PLAYGROUND,Parks and Other Outdoor Areas,PARKS AND PLAZAS,40.75628257,-73.77233468,POINT (4536968.622319171 -12424230.80419182),0,11,0,11
81,3813,FLUSHING,PUBLIC LIBRARIES,LIBRARIES,40.75778233,-73.82887651,POINT (4537135.574838683 -12446792.25111013),27,120,1,148
82,3814,CORONA GOLF PLAYGROUND,Parks and Other Outdoor Areas,PARKS AND PLAZAS,40.74775034,-73.85403436,POINT (4536018.81882024 -12456855.48347595),0,94,0,94
83,3815,CAMBRIA HEIGHTS,PUBLIC LIBRARIES,LIBRARIES,40.69573645,-73.7411352,POINT (4530228.659071263 -12411814.24854758),0,13,0,13
