OBJECTID,facname,Public Area,Public Area (supergroup),boro,Latitude,Longitude,geometry,RAPE,ROBBERY,MURDER & NON-NEGL. MANSLAUGHTER,Total Crimes
1314,CLIFTON PL MEMORIAL PARK AND GARDEN,Parks and Other Outdoor Areas,PARKS AND PLAZAS,BROOKLYN,40.68860194,-73.95464957,POINT (4529434.449051003 -12497255.12093546),0,75,2,77
1355,ULMER PARK LIBRARY,PUBLIC LIBRARIES,LIBRARIES,BROOKLYN,40.5926124,-73.9886502,POINT (4518748.942336722 -12510963.04054784),0,28,0,28
1377,A BETTER COMMUNITY GARDEN,Parks and Other Outdoor Areas,PARKS AND PLAZAS,BROOKLYN,40.67828823,-73.92830671,POINT (4528286.332105613 -12486653.99105338),16,97,5,118
1392,STEUBEN PLAYGROUND,Parks and Other Outdoor Areas,PARKS AND PLAZAS,BROOKLYN,40.69744492,-73.96345808,POINT (4530418.845081698 -12500803.70157427),9,37,1,47
1433,BRIGHTON BEACH LIBRARY,PUBLIC LIBRARIES,LIBRARIES,BROOKLYN,40.57616657,-73.96674493,POINT (4516918.200915449 -12502128.32237153),0,17,0,17
1435,GARDEN PARTY,Parks and Other Outdoor Areas,PARKS AND PLAZAS,BROOKLYN,40.67417171,-73.88718752,POINT (4527828.083195373 -12470140.20414479),0,93,3,96
1436,HERMAN DOLGON PLAYGROUND,Parks and Other Outdoor Areas,PARKS AND PLAZAS,BROOKLYN,40.59627052,-73.94042663,POINT (4519156.162392383 -12491529.2949164),0,29,2,31
1476,EAST END COMMUNITY GARDEN,Parks and Other Outdoor Areas,PARKS AND PLAZAS,BROOKLYN,40.67370635,-73.89075127,POINT (4527776.279557139 -12471569.80913006),0,106,4,110
1479,UNITED COMMUNITY CENTER,Parks and Other Outdoor Areas,PARKS AND PLAZAS,BROOKLYN,40.6652715,-73.88683046,POINT (4526837.31635022 -12469996.98582291),0,99,3,102
1486,ST NICHOLAS-POWERS ST GARDEN,Parks and Other Outdoor Areas,PARKS AND PLAZAS,BROOKLYN,40.71273655,-73.93971528,POINT (4532121.101546698 -12491243.05155831),0,87,1,88
1488,CLARA'S GARDEN,Parks and Other Outdoor Areas,PARKS AND PLAZAS,BROOKLYN,40.6744034,-73.88902626,POINT (4527853.874808196 -12470877.77969662),0,93,4,97
1507,ANCHORAGE PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,BROOKLYN,40.70153541,-73.9910454,POINT (4530874.196345593 -12511929.77377275),0,36,0,36
1535,BROWER PARK,Parks and Other Outdoor Areas,PARKS AND PLAZAS,BROOKLYN,40.67382848,-73.94383476,POINT (4527789.875006548 -12492900.87911468),0,78,1,79
1553,POWELL PLAYGROUND,Parks and Other Outdoor Areas,PARKS AND PLAZAS,BROOKLYN,40.67126735,-73.90484269,POINT (4527504.771319093 -12477225.62588399),0,129,3,132
1577,SPRING CREEK LIBRARY,PUBLIC LIBRARIES,LIBRARIES,BROOKLYN,40.65326482,-73.885907,POINT (4525500.738846502 -12469626.59632046),0,45,1,46
1588,FISH PLAYGROUND,Parks and Other Outdoor Areas,PARKS AND PLAZAS,BROOKLYN,40.67806985,-73.91536699,POINT (4528262.022155214 -12481452.86757536),28,58,3,89
1612,SEELEY PARK,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,BROOKLYN,40.65338243,-73.97783981,POINT (4525513.831131814 -12506601.58094163),0,13,0,13
1616,ANDRIES PLAYGROUND,Parks and Other Outdoor Areas,PARKS AND PLAZAS,BROOKLYN,40.62283326,-73.94645526,POINT (4522113.113083257 -12493955.67850545),0,40,1,41
1618,PATRICK VAN DOREN POCKET PARK,Parks and Other Outdoor Areas,PARKS AND PLAZAS,BROOKLYN,40.68944594,-73.9300716,POINT (4529528.402701233 -12487363.70494786),0,95,2,97
1678,VERNON CASES COMMUNITY GARDEN,Parks and Other Outdoor Areas,PARKS AND PLAZAS,BROOKLYN,40.69424968,-73.95039853,POINT (4530063.152591935 -12495543.23311334),9,65,4,78
1726,PARK,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,BROOKLYN,40.70115972,-73.98758828,POINT (4530832.374726097 -12510534.48117129),0,61,0,61
1795,BROOKLYN HEIGHTS PROMENADE,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,BROOKLYN,40.69552472,-73.99814742,POINT (4530205.089395477 -12514797.06773472),4,14,0,18
1846,PARK,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,BROOKLYN,40.64027872,-73.99450761,POINT (4524055.132807111 -12513327.41480607),0,22,1,23
1856,STONE AVENUE LIBRARY,PUBLIC LIBRARIES,LIBRARIES,BROOKLYN,40.66446487,-73.9052172,POINT (4526747.522709362 -12477376.00721515),0,125,2,127
2066,ZION TRIANGLE PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,BROOKLYN,40.66852131,-73.91948841,POINT (4527199.083544595 -12483109.03104424),0,88,4,92
2079,PAERDEGAT PARK,Parks and Other Outdoor Areas,PARKS AND PLAZAS,BROOKLYN,40.63806143,-73.93813382,POINT (4523808.305213371 -12490606.72491098),0,17,0,17
2115,LUNA PLAYGROUND,Parks and Other Outdoor Areas,PARKS AND PLAZAS,BROOKLYN,40.57605708,-73.9788236,POINT (4516906.012544403 -12506998.37317736),10,27,0,37
2123,OXPORT PLAYGROUND,Parks and Other Outdoor Areas,PARKS AND PLAZAS,BROOKLYN,40.69675477,-73.97691509,POINT (4530342.017935127 -12506228.63505263),0,70,3,73
2216,ROLPH HENRY PLAYGROUND,Parks and Other Outdoor Areas,PARKS AND PLAZAS,BROOKLYN,40.65567709,-73.94749369,POINT (4525769.271514558 -12494373.7120387),12,53,1,66
2244,TRINITY PARK,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,BROOKLYN,40.6991588,-73.98422769,POINT (4530609.633330579 -12509178.42921131),5,104,0,109
2338,PARK,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,BROOKLYN,40.65450931,-73.97815855,POINT (4525639.2748396 -12506730.13581725),0,12,0,12
2374,GARDENS OF UNION,Parks and Other Outdoor Areas,PARKS AND PLAZAS,BROOKLYN,40.67691487,-73.98243934,POINT (4528133.450369737 -12508456.91426351),0,54,2,56
2491,BAY RIDGE LIBRARY,PUBLIC LIBRARIES,LIBRARIES,BROOKLYN,40.6336068,-74.0295073,POINT (4523312.418070098 -12527472.80843904),0,12,0,12
2506,CANARSIE LIBRARY,PUBLIC LIBRARIES,LIBRARIES,BROOKLYN,40.6422167,-73.8995607,POINT (4524270.867753879 -12475105.05011627),0,31,1,32
