OBJECTID,Offense,Latitude,Longitude,geometry
79,ROBBERY,40.676567,-73.819433,POINT (4528094.725658475 -12443018.74545691)
80,ROBBERY,40.75635713,-73.82577277,POINT (4536976.922300405 -12445551.79979379)
81,ROBBERY,40.754376,-73.772451,POINT (4536756.38391761 -12424277.13988026)
82,ROBBERY,40.594027,-73.77553,POINT (4518906.414888398 -12425503.76690027)
83,ROBBERY,40.746419,-73.887626,POINT (4535870.614729367 -12470316.08461023)
84,ROBBERY,40.734722,-73.874462,POINT (4534568.510645558 -12465037.84873473)
85,ROBBERY,40.666253,-73.850815,POINT (4526946.576430433 -12455566.87642859)
86,ROBBERY,40.77016535,-73.81827063,POINT (4538514.046319566 -12442554.4254547)
87,ROBBERY,40.760861,-73.769647,POINT (4537478.290815404 -12423160.26572747)
88,ROBBERY,40.711344,-73.763387,POINT (4531966.083589792 -12420667.49366705)
89,ROBBERY,40.766419,-73.9157,POINT (4538097.004545233 -12481586.66994408)
90,MURDER & NON-NEGL. MANSLAUGHTER,40.723879,-73.906951,POINT (4533361.473406887 -12478072.24437458)
91,ROBBERY,40.748047,-73.901092,POINT (4536051.842860379 -12475719.75582446)
92,ROBBERY,40.745446,-73.896155,POINT (4535762.300864825 -12473738.113011)
93,ROBBERY,40.758557,-73.833072,POINT (4537221.810708616 -12448469.40333344)
94,ROBBERY,40.752294,-73.834218,POINT (4536524.616737778 -12448927.59188574)
95,ROBBERY,40.704693,-73.801694,POINT (4531225.697656527 -12435936.25942796)
96,ROBBERY,40.699795,-73.807364,POINT (4530680.454790622 -12438199.24661574)
97,ROBBERY,40.70813894,-73.80302383,POINT (4531609.297942631 -12436466.94652421)
98,ROBBERY,40.748688,-73.884123,POINT (4536123.198653977 -12468911.11234049)
99,ROBBERY,40.71199453,-73.86072617,POINT (4532038.500258139 -12459534.8018373)
100,ROBBERY,40.75956952,-73.8301393,POINT (4537334.523919434 -12447297.00838985)
101,ROBBERY,40.701337,-73.812933,POINT (4530852.109445425 -12440422.67393383)
102,ROBBERY,40.69819957,-73.76879273,POINT (4530502.852335425 -12422820.03482608)
103,ROBBERY,40.74731,-73.903129,POINT (4535969.800395664 -12476537.55157623)
104,ROBBERY,40.753461,-73.831369,POINT (4536654.526583534 -12447788.57594295)
105,ROBBERY,40.734681,-73.810626,POINT (4534563.946546436 -12439501.51218893)
106,ROBBERY,40.698954,-73.79299,POINT (4530586.835098865 -12432463.85418169)
107,ROBBERY,40.709797,-73.773586,POINT (4531793.872337537 -12424729.2803516)
108,ROBBERY,40.739753,-73.78969,POINT (4535128.55900374 -12431147.8147031)
109,ROBBERY,40.666547,-73.782802,POINT (4526979.304360727 -12428401.72123524)
110,ROBBERY,40.757138,-73.946544,POINT (4537063.84835118 -12493991.40092037)
111,ROBBERY,40.74739571,-73.90955438,POINT (4535979.34158922 -12479117.81347698)
112,RAPE,40.76949512,-73.91502417,POINT (4538439.436657252 -12481315.1263969)
113,ROBBERY,40.75570582,-73.86623667,POINT (4536904.418802856 -12461741.95022533)
114,ROBBERY,40.750846,-73.869386,POINT (4536363.42611511 -12463003.69683247)
115,ROBBERY,40.747979,-73.868722,POINT (4536044.273135005 -12462737.65212743)
116,ROBBERY,40.743725,-73.853413,POINT (4535570.720021171 -12456606.7534256)
117,ROBBERY,40.673296,-73.840437,POINT (4527730.599604091 -12451414.59585186)
118,RAPE,40.68239828,-73.84007216,POINT (4528743.860778749 -12451268.66909723)
119,RAPE,40.70723982,-73.79272673,POINT (4531509.208362069 -12432358.85257526)
120,ROBBERY,40.709526,-73.78205,POINT (4531763.704755531 -12428101.98417166)
121,ROBBERY,40.680001,-73.752339,POINT (4528476.99678986 -12416270.39021778)
122,ROBBERY,40.757085,-73.941842,POINT (4537057.948418168 -12492098.8688007)
123,ROBBERY,40.74681219,-73.89175204,POINT (4535914.384439953 -12471971.32525925)
124,ROBBERY,40.752435,-73.871317,POINT (4536540.312785979 -12463777.45067876)
125,ROBBERY,40.747879,-73.881604,POINT (4536033.141185925 -12467900.98345402)
126,ROBBERY,40.739199,-73.86872003,POINT (4535066.88800584 -12462736.86282391)
127,ROBBERY,40.754394,-73.863106,POINT (4536758.387668444 -12460487.917156)
128,ROBBERY,40.754999,-73.825931,POINT (4536825.735960374 -12445615.03293066)
129,ROBBERY,40.716484,-73.758267,POINT (4532538.265772471 -12418629.37206376)
130,ROBBERY,40.708966,-73.768075,POINT (4531701.365840686 -12422534.19730635)
131,ROBBERY,40.701147,-73.742665,POINT (4530830.958742174 -12412422.52715134)
132,RAPE,40.60277623,-73.75011736,POINT (4519880.374716832 -12415386.52896354)
133,ROBBERY,40.745277,-73.921596,POINT (4535743.487870882 -12483956.11088488)
134,ROBBERY,40.746587,-73.898779,POINT (4535889.31640382 -12474791.27629644)
