OBJECTID,Complaint ID,Offense,Latitude,Longitude,geometry
102,266022919,ROBBERY,40.583176,-74.08545,POINT (4517698.487093801 -12550145.30168649)
103,266062136,ROBBERY,40.628788,-74.14772,POINT (4522775.991707864 -12575473.61475424)
104,266053170,ROBBERY,40.62211,-74.084062,POINT (4522032.600148346 -12549581.83359118)
105,266048799,ROBBERY,40.602143,-74.120618,POINT (4519809.883875677 -12564437.98853995)
106,266248891H1,MURDER & NON-NEGL. MANSLAUGHTER,40.644892,-74.088341,POINT (4524568.680787598 -12551319.07662938)
107,266117872,RAPE,40.57428569,-74.10591441,POINT (4516708.822311606 -12558458.52988893)
108,266087409,ROBBERY,40.575382,-74.104812,POINT (4516830.862982558 -12558010.43377965)
109,266162865,ROBBERY,40.62246362,-74.07253516,POINT (4522071.964946681 -12544904.28260504)
110,266108940,ROBBERY,40.588159,-74.166217,POINT (4518253.192116424 -12583015.94246309)
111,266216869,ROBBERY,40.63778217,-74.07694038,POINT (4523777.218132372 -12546691.51590567)
112,266319438,ROBBERY,40.61060312,-74.12158001,POINT (4520751.660126126 -12564829.39383978)
113,266351509,ROBBERY,40.598227,-74.082759,POINT (4519373.956749731 -12549052.9153868)
114,266374032,ROBBERY,40.628773,-74.122675,POINT (4522774.321915502 -12565274.93176223)
115,266518182,ROBBERY,40.540923,-74.177901,POINT (4512994.904649313 -12587784.63027583)
116,266575382,ROBBERY,40.627414,-74.076089,POINT (4522623.038727514 -12546346.0666246)
117,266666628H1,MURDER & NON-NEGL. MANSLAUGHTER,40.627807,-74.079541,POINT (4522666.787287395 -12547746.83454138)
118,266695267,ROBBERY,40.591056,-74.088105,POINT (4518575.684681253 -12551223.25047954)
119,266709096,ROBBERY,40.5716115,-74.09417066,POINT (4516411.132842523 -12553686.60893675)
120,266727437,ROBBERY,40.625819,-74.078759,POINT (4522445.484139699 -12547429.48518385)
121,266720040,ROBBERY,40.631553,-74.146779,POINT (4523083.790099907 -12575090.14230717)
122,266765661,ROBBERY,40.626237,-74.175155,POINT (4522492.01568685 -12586663.57413222)
123,266799680,ROBBERY,40.642915,-74.094183,POINT (4524348.602154301 -12553691.62133455)
124,266876127,ROBBERY,40.638142,-74.075912,POINT (4523817.274224744 -12546274.25074983)
125,266840616,ROBBERY,40.644996,-74.077263,POINT (4524580.258014641 -12546822.42437108)
126,266915431,ROBBERY,40.621969,-74.140115,POINT (4522016.904100144 -12572375.09094865)
127,266930231,RAPE,40.62318838,-74.14923769,POINT (4522152.644860828 -12576092.14427231)
128,266932119,ROBBERY,40.5913352,-74.06751454,POINT (4518606.765083081 -12542867.96357666)
129,267050199,ROBBERY,40.63460864,-74.1580637,POINT (4523423.942388755 -12579690.29929147)
130,267011542,ROBBERY,40.644797,-74.087278,POINT (4524558.105435973 -12550887.46383845)
131,267108774,ROBBERY,40.625114,-74.077974,POINT (4522367.00389869 -12547110.93364458)
132,267122665,ROBBERY,40.5449,-74.161376,POINT (4513437.622264197 -12581041.14956392)
133,267212255H1,MURDER & NON-NEGL. MANSLAUGHTER,40.564004,-74.140759,POINT (4515564.269816312 -12572637.42133854)
134,267138407,ROBBERY,40.645974,-74.078036,POINT (4524689.128476637 -12547136.09257274)
135,268123275,RAPE,40.57428569,-74.10591441,POINT (4516708.822311606 -12558458.52988893)
136,267434441,ROBBERY,40.617789,-74.08110287,POINT (4521551.588628629 -12548380.71431826)
137,267479258,ROBBERY,40.624418,-74.139774,POINT (4522289.525533097 -12572236.19039519)
138,267497241,ROBBERY,40.586252,-74.102717,POINT (4518040.905847481 -12557158.9634809)
139,267779547,ROBBERY,40.575789,-74.127334,POINT (4516876.170015311 -12567170.95611146)
140,267825589,RAPE,40.64472094,-74.07703272,POINT (4524549.638475504 -12546728.98414244)
141,268067164H1,MURDER & NON-NEGL. MANSLAUGHTER,40.621409,-74.080076,POINT (4521954.5651853 -12547963.95570148)
142,268098806,ROBBERY,40.527587,-74.191658,POINT (4511510.347920094 -12593403.78951049)
143,268168691,ROBBERY,40.55195064,-74.15063524,POINT (4514222.495918765 -12576661.7621683)
144,268135278,ROBBERY,40.623977,-74.081548,POINT (4522240.433637657 -12548561.37995103)
145,268214653,ROBBERY,40.616191,-74.104035,POINT (4521373.700082341 -12557694.62511985)
146,268178405,ROBBERY,40.623796,-74.073767,POINT (4522220.284809824 -12545404.00153035)
147,268234709,ROBBERY,40.612712,-74.103037,POINT (4520986.419573871 -12557289.01392297)
148,268242907,ROBBERY,40.634852,-74.084938,POINT (4523451.033100034 -12549937.44621154)
149,268302525,ROBBERY,40.638977,-74.171252,POINT (4523910.225999556 -12585070.49819052)
150,268408080,ROBBERY,40.63602442,-74.13477006,POINT (4523581.54629743 -12570198.25506014)
151,268697223,ROBBERY,40.623713,-74.085106,POINT (4522211.045292089 -12550005.64807122)
152,268925995,ROBBERY,40.60376856,-74.13156825,POINT (4519990.84038713 -12568894.59478987)
153,269954043,RAPE,40.64472094,-74.07703272,POINT (4524549.638475504 -12546728.98414244)
154,269002693,ROBBERY,40.626237,-74.175155,POINT (4522492.01568685 -12586663.57413222)
155,269037319,ROBBERY,40.626133,-74.157252,POINT (4522480.438459808 -12579359.30689899)
156,269196679,RAPE,40.57428569,-74.10591441,POINT (4516708.822311606 -12558458.52988893)
157,278636633,RAPE,40.64472094,-74.07703272,POINT (4524549.638475504 -12546728.98414244)
158,269272234,ROBBERY,40.575308,-74.12237,POINT (4516822.625340239 -12565150.82801706)
159,269271881,ROBBERY,40.542057,-74.177447,POINT (4513121.140951873 -12587599.2714231)
