,0,geometry,Latitude,Longitude,ROBBERY,MURDER & NON-NEGL. MANSLAUGHTER,RAPE,Total Crimes
27,POINT (40.50160379653877 -74.2469623099018),POINT (4508617.910941612 -12616041.47801409),40.501603796538774,-74.2469623099018,1,0,0,1
28,POINT (40.58442770855074 -74.09465422171952),POINT (4517837.826652291 -12553883.03022345),40.58442770855074,-74.09465422171952,2,0,0,2
29,POINT (40.63108271829416 -74.15876598217926),POINT (4523031.438579883 -12579976.68697389),40.63108271829416,-74.15876598217926,8,1,0,9
30,POINT (40.50742003819477 -74.23549888576206),POINT (4509265.372001088 -12611342.80302207),40.50742003819477,-74.23549888576206,0,0,0,0
31,POINT (40.60899071729641 -74.19256916958152),POINT (4520572.16827821 -12593776.13242391),40.608990717296415,-74.19256916958152,1,0,0,1
32,POINT (40.63528455674957 -74.16145973027648),POINT (4523499.185097135 -12581075.30072227),40.63528455674957,-74.16145973027648,11,1,0,12
33,POINT (40.58198985019413 -74.18016487709743),POINT (4517566.445501408 -12588709.00204956),40.581989850194134,-74.18016487709743,0,0,0,0
34,POINT (40.59480704575569 -74.12510101146086),POINT (4518993.249184718 -12566262.15254286),40.594807045755694,-74.12510101146086,0,0,0,0
35,POINT (40.55408080655452 -74.20403446600254),POINT (4514459.624974919 -12598463.13179433),40.55408080655452,-74.20403446600254,1,0,0,1
36,POINT (40.53095647864451 -74.21185008775436),POINT (4511885.436567038 -12601660.0492311),40.530956478644505,-74.21185008775436,1,0,0,1
37,POINT (40.60476240307546 -74.13083163041932),POINT (4520101.474492219 -12568594.70642248),40.60476240307546,-74.13083163041932,5,0,0,5
38,POINT (40.53209912369093 -74.22899593839489),POINT (4512012.635231764 -12608678.82860053),40.53209912369093,-74.22899593839489,1,0,0,1
39,POINT (40.60377170460151 -74.11587918105785),POINT (4519991.19044257 -12562510.28037154),40.60377170460151,-74.11587918105785,1,0,0,1
40,POINT (40.564553701029 -74.18910890205096),POINT (4515625.462254949 -12592362.23000539),40.564553701029,-74.18910890205096,0,0,0,0
41,POINT (40.62558430816459 -74.0734584314441),POINT (4522419.358364088 -12545278.82139261),40.62558430816459,-74.0734584314441,18,1,0,19
