,0,geometry,Latitude,Longitude,ROBBERY,MURDER & NON-NEGL. MANSLAUGHTER,RAPE,Total Crimes
81,POINT (40.62386178916259 -73.91416970154282),POINT (4522227.608425903 -12480971.82312485),40.62386178916259,-73.91416970154282,15,0,0,15
82,POINT (40.5980131726679 -73.95598557067693),POINT (4519350.153600004 -12497793.21773348),40.5980131726679,-73.95598557067693,42,0,0,42
83,POINT (40.59816416287987 -73.96149638592237),POINT (4519366.961753515 -12500013.25274745),40.59816416287987,-73.96149638592237,31,1,11,43
84,POINT (40.65598745520388 -73.84375722767274),POINT (4525803.821211015 -12452742.75018799),40.655987455203885,-73.84375722767274,0,0,0,0
85,POINT (40.62089253384239 -73.97970431547053),POINT (4521897.072435623 -12507353.61246934),40.62089253384239,-73.97970431547053,16,1,0,17
86,POINT (40.62745815302242 -73.91882547203295),POINT (4522627.953819486 -12482842.60622323),40.62745815302242,-73.91882547203295,18,1,0,19
87,POINT (40.61291459046279 -73.9682447568015),POINT (4521008.971841028 -12502732.84967295),40.612914590462786,-73.9682447568015,11,0,0,11
88,POINT (40.63440448022631 -73.96740927423137),POINT (4523401.215426707 -12502396.08931313),40.63440448022631,-73.96740927423137,24,0,0,24
89,POINT (40.62224198332904 -74.00563688890203),POINT (4522047.292465328 -12517822.12908076),40.62224198332904,-74.00563688890203,21,1,0,22
90,POINT (40.61975924053998 -73.94143088589297),POINT (4521770.914802278 -12491933.42302477),40.61975924053998,-73.94143088589297,12,0,11,23
91,POINT (40.6492283215798 -73.90277723510702),POINT (4525051.397897778 -12476396.32109272),40.6492283215798,-73.90277723510702,41,1,16,58
92,POINT (40.70272531128882 -73.93163599506762),POINT (4531006.655551159 -12487992.85741607),40.702725311288816,-73.93163599506762,76,3,0,79
93,POINT (40.68939958434985 -73.94874534101237),POINT (4529523.242413863 -12494877.61546744),40.68939958434985,-73.94874534101237,84,5,16,105
94,POINT (40.68974337713497 -73.97137492839116),POINT (4529561.51325164 -12503994.68890009),40.68974337713497,-73.97137492839116,66,1,7,74
95,POINT (40.60474369413559 -73.98589146588209),POINT (4520099.391822559 -12509849.75482552),40.604743694135585,-73.98589146588209,17,1,0,18
96,POINT (40.66782495435683 -73.91192323773511),POINT (4527121.565588987 -12480069.33690283),40.66782495435683,-73.91192323773511,102,0,28,130
97,POINT (40.62495983039095 -74.00501967326358),POINT (4522349.841816314 -12517572.7781862),40.62495983039095,-74.00501967326358,28,1,0,29
98,POINT (40.65065331578029 -73.85854427307797),POINT (4525210.02752656 -12458661.07837132),40.65065331578029,-73.85854427307797,0,0,0,0
99,POINT (40.62980856092299 -73.97155133612425),POINT (4522889.600030134 -12504065.80977912),40.62980856092299,-73.97155133612425,14,1,16,31
