OBJECTID,Offense,BORO_NM,Latitude,Longitude,geometry
483203,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.658632,-73.896084,POINT (4526098.210591098 -12473709.61891728)
483236,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.658632,-73.896084,POINT (4526098.210591098 -12473709.61891728)
483342,ROBBERY,BROOKLYN,40.678107,-73.874129,POINT (4528266.157674297 -12464904.3834964)
483800,ROBBERY,BROOKLYN,40.63748445,-74.03415714,POINT (4523744.076093573 -12529354.34858418)
483894,ROBBERY,BROOKLYN,40.617326,-73.990321,POINT (4521500.047704391 -12511637.3818497)
484145,ROBBERY,BROOKLYN,40.681652,-73.962449,POINT (4528660.785269159 -12500397.08915777)
484215,ROBBERY,BROOKLYN,40.69023,-73.951538,POINT (4529615.683861184 -12496002.05276278)
484248,ROBBERY,BROOKLYN,40.62625316,-73.95161887,POINT (4522493.814609821 -12496034.61712927)
484276,ROBBERY,BROOKLYN,40.59969867,-73.94851961,POINT (4519537.782304746 -12494786.73536639)
484371,ROBBERY,BROOKLYN,40.701178,-73.939965,POINT (4530834.409646389 -12491343.5361174)
484448,ROBBERY,BROOKLYN,40.669268,-73.931076,POINT (4527282.204695175 -12487767.63745272)
484454,ROBBERY,BROOKLYN,40.706141,-73.924463,POINT (4531386.888279196 -12485108.58537948)
484463,ROBBERY,BROOKLYN,40.69442044,-73.93134611,POINT (4530082.161508184 -12487876.26989173)
484498,ROBBERY,BROOKLYN,40.701219,-73.924608,POINT (4530838.973745512 -12485166.87768626)
484575,ROBBERY,BROOKLYN,40.658126,-73.916026,POINT (4526041.882928757 -12481717.65832944)
484634,ROBBERY,BROOKLYN,40.692571,-73.911429,POINT (4529876.282789132 -12479870.80009341)
484646,ROBBERY,BROOKLYN,40.690433,-73.907667,POINT (4529638.281717815 -12478359.78777434)
484679,ROBBERY,BROOKLYN,40.666038,-73.906938,POINT (4526922.642739913 -12478067.02372965)
484698,ROBBERY,BROOKLYN,40.644716,-73.901847,POINT (4524549.088557219 -12476022.85442908)
484722,ROBBERY,BROOKLYN,40.673082,-73.896678,POINT (4527706.777233061 -12473948.00989249)
484796,ROBBERY,BROOKLYN,40.677991,-73.887941,POINT (4528253.244613364 -12470442.43839538)
485353,ROBBERY,BROOKLYN,40.573898,-73.999384,POINT (4516665.664858221 -12515296.43805666)
485489,ROBBERY,BROOKLYN,40.68551205,-73.97428077,POINT (4529090.484069596 -12505166.31070286)
485514,ROBBERY,BROOKLYN,40.711372,-73.968279,POINT (4531969.200535535 -12502746.65254192)
485556,ROBBERY,BROOKLYN,40.696818,-73.966581,POINT (4530349.05666653 -12502062.25130684)
485568,ROBBERY,BROOKLYN,40.718913,-73.958712,POINT (4532808.660815608 -12498891.46849672)
485612,ROBBERY,BROOKLYN,40.69537665,-73.94920664,POINT (4530188.606318476 -12495063.33993566)
485655,ROBBERY,BROOKLYN,40.656678,-73.950203,POINT (4525880.692306088 -12495464.5040788)
485690,ROBBERY,BROOKLYN,40.631284,-73.945564,POINT (4523053.845156884 -12493596.91117017)
485861,ROBBERY,BROOKLYN,40.653039,-73.919573,POINT (4525475.600679092 -12483143.0272652)
485883,ROBBERY,BROOKLYN,40.70140303,-73.9185718,POINT (4530859.459871402 -12482740.66206848)
485971,ROBBERY,BROOKLYN,40.69278496,-73.91180653,POINT (4529900.100707381 -12480022.45451326)
486786,ROBBERY,BROOKLYN,40.66931345,-73.97956443,POINT (4527287.264166032 -12507297.18796445)
486867,ROBBERY,BROOKLYN,40.71121384,-73.96337753,POINT (4531951.594244871 -12500771.24274697)
486894,ROBBERY,BROOKLYN,40.609575,-73.958437,POINT (4520637.210331252 -12498780.685713)
486899,ROBBERY,BROOKLYN,40.718822,-73.962258,POINT (4532798.530741946 -12500320.12782458)
486967,RAPE,BROOKLYN,40.64885075,-73.95101651,POINT (4525009.366821776 -12495792.06536117)
486971,ROBBERY,BROOKLYN,40.69023,-73.951538,POINT (4529615.683861184 -12496002.05276278)
486994,ROBBERY,BROOKLYN,40.587559,-73.946592,POINT (4518186.400421947 -12494010.72346968)
487007,ROBBERY,BROOKLYN,40.674084,-73.945928,POINT (4527818.319362836 -12493743.43319737)
487121,ROBBERY,BROOKLYN,40.679838,-73.939382,POINT (4528458.85171286 -12491108.94575174)
487153,ROBBERY,BROOKLYN,40.68416749,-73.92930868,POINT (4528940.808335056 -12487056.90318765)
487185,ROBBERY,BROOKLYN,40.635456,-73.924271,POINT (4523518.270072473 -12485031.39911269)
487243,ROBBERY,BROOKLYN,40.64764431,-73.91923201,POINT (4524875.066535303 -12483005.9864636)
487288,ROBBERY,BROOKLYN,40.69937,-73.912947,POINT (4530633.144007035 -12480480.6042249)
487354,ROBBERY,BROOKLYN,40.62970985,-73.9048539,POINT (4522878.611580451 -12477230.12711547)
487424,ROBBERY,BROOKLYN,40.659248,-73.89115,POINT (4526166.783397427 -12471729.77956659)
487506,ROBBERY,BROOKLYN,40.65448415,-73.8865319,POINT (4525636.474041211 -12469877.23447765)
488139,ROBBERY,BROOKLYN,40.68376454,-73.97875956,POINT (4528895.95214624 -12506972.54318819)
488225,ROBBERY,BROOKLYN,40.64943988,-73.96307629,POINT (4525074.948473387 -12500649.85499033)
488241,ROBBERY,BROOKLYN,40.609575,-73.958437,POINT (4520637.210331252 -12498780.685713)
488278,ROBBERY,BROOKLYN,40.653233,-73.952743,POINT (4525497.196660305 -12496487.2932706)
488382,RAPE,BROOKLYN,40.66412128,-73.94776484,POINT (4526709.274445521 -12494482.87134122)
488448,ROBBERY,BROOKLYN,40.693584,-73.938656,POINT (4529989.049433305 -12490816.82594418)
488460,ROBBERY,BROOKLYN,40.656915,-73.939645,POINT (4525907.075025406 -12491214.7719399)
488592,ROBBERY,BROOKLYN,40.663561,-73.922839,POINT (4526646.904361218 -12484455.74651573)
488618,ROBBERY,BROOKLYN,40.698961,-73.916873,POINT (4530587.614335299 -12482057.99913118)
488633,ROBBERY,BROOKLYN,40.669616,-73.911203,POINT (4527320.943877971 -12479780.01718077)
488669,ROBBERY,BROOKLYN,40.691289,-73.909174,POINT (4529733.571201934 -12478965.03504232)
488823,ROBBERY,BROOKLYN,40.653454,-73.886801,POINT (4525521.798267771 -12469985.16942651)
488839,ROBBERY,BROOKLYN,40.655532,-73.884096,POINT (4525753.120169639 -12468900.28441964)
488974,ROBBERY,BROOKLYN,40.667524,-73.864248,POINT (4527088.063503232 -12460945.33357454)
489453,ROBBERY,BROOKLYN,40.57459461,-73.9876351,POINT (4516743.211128702 -12510553.37574964)
489581,ROBBERY,BROOKLYN,40.650531,-73.9611,POINT (4525196.411396182 -12499853.54366631)
489618,ROBBERY,BROOKLYN,40.701372,-73.959594,POINT (4530856.005627602 -12499246.79157509)
489630,ROBBERY,BROOKLYN,40.64507119,-73.95802302,POINT (4524588.628127154 -12498613.91881187)
489644,ROBBERY,BROOKLYN,40.650146,-73.960492,POINT (4525153.553392227 -12499608.57996967)
489745,ROBBERY,BROOKLYN,40.62912,-73.943744,POINT (4522812.949778806 -12492864.34955072)
489787,ROBBERY,BROOKLYN,40.597113,-73.941249,POINT (4519249.946836987 -12491860.22750266)
490006,ROBBERY,BROOKLYN,40.685272,-73.91462,POINT (4529063.761825831 -12481152.73915704)
490060,ROBBERY,BROOKLYN,40.670873,-73.907168,POINT (4527460.872477898 -12478159.38959236)
490094,RAPE,BROOKLYN,40.64861355,-73.9052572,POINT (4524982.96183856 -12477392.06907907)
