,0,geometry,Latitude,Longitude,RAPE,ROBBERY,MURDER & NON-NEGL. MANSLAUGHTER,Total Crimes
26,POINT (40.83350395165209 -73.87214796366952),POINT (4545564.867203035 -12464110.44649767),40.83350395165209,-73.87214796366952,29,128,4,161
27,POINT (40.81482898201979 -73.84189139234113),POINT (4543485.979092987 -12451996.3478065),40.81482898201979,-73.84189139234113,0,2,1,3
28,POINT (40.84335091870071 -73.86546114383803),POINT (4546661.026560745 -12461431.28044991),40.843350918700715,-73.86546114383803,0,114,2,116
29,POINT (40.81579519628458 -73.87063926827568),POINT (4543593.53757294 -12463505.87255324),40.815795196284576,-73.87063926827568,29,39,0,68
30,POINT (40.81719634721811 -73.88100942635357),POINT (4543749.512981386 -12467662.57950592),40.817196347218115,-73.88100942635357,0,72,4,76
31,POINT (40.82635969673144 -73.92787490502273),POINT (4544769.572383171 -12486480.36119501),40.82635969673144,-73.92787490502273,0,183,4,187
32,POINT (40.85789789772095 -73.9016252301263),POINT (4548280.388857859 -12475933.82234556),40.85789789772095,-73.9016252301263,44,274,4,322
33,POINT (40.88370932983211 -73.81115641792307),POINT (4551153.704337118 -12439713.29138556),40.88370932983211,-73.81115641792307,0,0,0,0
34,POINT (40.83316418496884 -73.87055434550361),POINT (4545527.044548867 -12463471.84340033),40.833164184968844,-73.8705543455036,29,122,5,156
35,POINT (40.86255258724761 -73.90908657642782),POINT (4548798.546525768 -12478929.92213553),40.86255258724761,-73.90908657642782,0,100,0,100
36,POINT (40.89858112432342 -73.88590154318051),POINT (4552809.224927073 -12469624.40771245),40.89858112432342,-73.88590154318051,0,2,0,2
37,POINT (40.86342859535863 -73.83037013389213),POINT (4548896.063302617 -12447389.28052149),40.86342859535863,-73.83037013389213,0,34,0,34
38,POINT (40.83117641574881 -73.83938911628005),POINT (4545305.767091478 -12450995.4775396),40.83117641574881,-73.83938911628005,0,22,1,23
39,POINT (40.84924449074573 -73.83419501197733),POINT (4547317.095999749 -12448918.40060745),40.849244490745725,-73.83419501197733,0,50,0,50
40,POINT (40.84996029830074 -73.91448245023747),POINT (4547396.77933228 -12481097.47538166),40.84996029830074,-73.91448245023747,0,151,5,156
41,POINT (40.85219152299826 -73.8692643141005),POINT (4547645.158129453 -12462954.94017737),40.85219152299826,-73.8692643141005,0,96,0,96
42,POINT (40.83451019856859 -73.90704985450408),POINT (4545676.882097391 -12478111.94329854),40.83451019856859,-73.90704985450408,0,207,9,216
43,POINT (40.91020873653979 -73.90547277425136),POINT (4554103.604798141 -12477478.63285545),40.910208736539786,-73.90547277425136,0,3,0,3
44,POINT (40.82518796425315 -73.84951276022976),POINT (4544639.135720341 -12455045.70244317),40.825187964253146,-73.84951276022976,0,39,1,40
