,0,geometry,Latitude,Longitude,RAPE,ROBBERY,MURDER & NON-NEGL. MANSLAUGHTER,Total Crimes
37,POINT (40.76045519103059 -73.82510464067606),POINT (4537433.116367569 -12445284.80325339),40.76045519103059,-73.82510464067606,27,74,1,102
38,POINT (40.70718275179112 -73.79845264728866),POINT (4531502.855558116 -12434642.93029994),40.707182751791116,-73.79845264728866,0,109,0,109
39,POINT (40.76992210710738 -73.93371111395463),POINT (4538486.968644621 -12488827.49961503),40.769922107107384,-73.93371111395463,0,28,1,29
40,POINT (40.70408727987363 -73.90734644843538),POINT (4531158.269200496 -12478231.05371116),40.70408727987363,-73.90734644843538,0,63,0,63
41,POINT (40.74703899483069 -73.87002937763552),POINT (4535939.632238214 -12463261.48894944),40.74703899483069,-73.87002937763552,0,178,1,179
42,POINT (40.75861340407715 -73.80978604330005),POINT (4537228.089581763 -12439166.15770647),40.75861340407715,-73.80978604330005,0,9,0,9
43,POINT (40.57545128839941 -73.8414399411492),POINT (4516838.576131899 -12451815.76342137),40.575451288399414,-73.8414399411492,0,1,0,1
44,POINT (40.71596007450633 -73.82961898074345),POINT (4532479.942653301 -12447089.02384685),40.71596007450633,-73.82961898074345,0,11,0,11
45,POINT (40.75849667420104 -73.71456562831806),POINT (4537215.095271394 -12401258.53676049),40.75849667420104,-73.71456562831806,0,3,0,3
46,POINT (40.59550392436373 -73.75125107195441),POINT (4519070.82535651 -12415837.55227445),40.59550392436373,-73.75125107195441,15,35,0,50
47,POINT (40.67912211092646 -73.83694334770293),POINT (4528379.159305729 -12450017.35511882),40.67912211092646,-73.83694334770293,16,24,0,40
48,POINT (40.76324329963434 -73.74825897869854),POINT (4537743.487197615 -12414647.27751366),40.76324329963434,-73.74825897869854,0,0,0,0
49,POINT (40.68869373730076 -73.75237156377644),POINT (4529444.66787978 -12416283.34632365),40.68869373730076,-73.75237156377644,0,15,1,16
50,POINT (40.73624096306115 -73.90110943663134),POINT (4534737.60084006 -12475726.75569303),40.73624096306115,-73.90110943663134,0,42,1,43
51,POINT (40.71619389587217 -73.74312413065586),POINT (4532505.971528683 -12412605.09740689),40.716193895872166,-73.74312413065586,0,14,1,15
52,POINT (40.77409206956035 -73.83977568177572),POINT (4538951.166741512 -12451150.08768225),40.774092069560346,-73.83977568177572,0,12,0,12
53,POINT (40.76413938553026 -73.88285191131897),POINT (4537843.239023256 -12468401.38158105),40.764139385530264,-73.88285191131897,0,24,1,25
54,POINT (40.66646672735452 -73.84327635261673),POINT (4526970.368450709 -12452550.37455094),40.666466727354525,-73.84327635261673,0,27,0,27
55,POINT (40.68195374144253 -73.77987337488061),POINT (4528694.374972892 -12427234.48696173),40.68195374144253,-73.77987337488061,20,17,0,37
56,POINT (40.73624269381776 -73.72147117876563),POINT (4534737.793507004 -12404000.40100293),40.736242693817765,-73.72147117876563,0,2,0,2
57,POINT (40.72805284237278 -73.88796909553935),POINT (4533826.103414476 -12470453.7082828),40.728052842372776,-73.88796909553935,0,23,0,23
58,POINT (40.74548155563728 -73.94221542812438),POINT (4535766.258900261 -12492249.15207791),40.74548155563728,-73.94221542812438,0,64,1,65
59,POINT (40.75927720810952 -73.78078202835187),POINT (4537301.983908634 -12427596.61839157),40.75927720810952,-73.78078202835187,0,9,0,9
60,POINT (40.73657461134801 -73.93139454159807),POINT (4534774.742397456 -12487895.74822795),40.73657461134801,-73.93139454159807,0,11,0,11
61,POINT (40.65640419062404 -73.76032559512782),POINT (4525850.211985782 -12419448.76315251),40.65640419062404,-73.76032559512782,0,7,0,7
62,POINT (40.76552658327883 -73.84692217361027),POINT (4537997.661170257 -12454009.03621992),40.765526583278834,-73.84692217361027,0,12,1,13
63,POINT (40.75110415397331 -73.91237456402722),POINT (4536392.163683964 -12480250.64124156),40.75110415397331,-73.91237456402722,0,61,1,62
64,POINT (40.79092858371107 -73.84295356511154),POINT (4540825.398923505 -12452421.24548104),40.79092858371107,-73.84295356511154,0,17,0,17
65,POINT (40.72304597939547 -73.84610048128394),POINT (4533268.741977369 -12453680.25620579),40.723045979395465,-73.84610048128394,0,14,0,14
66,POINT (40.74239569729421 -73.91003285740335),POINT (4535422.742720852 -12479309.99741968),40.742395697294214,-73.91003285740335,0,34,0,34
67,POINT (40.72908235559266 -73.74949310542408),POINT (4533940.708301879 -12415138.19556135),40.72908235559266,-73.74949310542408,0,10,0,10
68,POINT (40.74465397463712 -73.79838329131528),POINT (4535674.133004733 -12434615.25938938),40.74465397463712,-73.79838329131528,0,4,0,4
69,POINT (40.68971234701156 -73.74628957084705),POINT (4529558.058994103 -12413863.95022332),40.689712347011564,-73.74628957084705,0,10,0,10
70,POINT (40.54983880138271 -73.92990523475217),POINT (4513987.40711925 -12487296.80137571),40.549838801382705,-73.92990523475217,0,0,0,0
71,POINT (40.7505786291155 -73.74464147621666),POINT (4536333.662524394 -12413208.4954805),40.7505786291155,-73.74464147621666,0,3,0,3
72,POINT (40.7197498751278 -73.86201866369325),POINT (4532901.821328692 -12460052.42500398),40.719749875127796,-73.86201866369325,0,17,0,17
73,POINT (40.73944319402946 -73.75065279677109),POINT (4535094.071560854 -12415599.53733701),40.73944319402946,-73.75065279677109,0,3,0,3
74,POINT (40.72617651692768 -73.79263790750521),POINT (4533617.231821366 -12432323.42732343),40.72617651692768,-73.79263790750521,0,3,0,3
75,POINT (40.76565787387874 -73.78089087565947),POINT (4538012.276372985 -12427639.99932343),40.765657873878745,-73.78089087565947,0,8,0,8
76,POINT (40.7344056626775 -73.74933941809888),POINT (4534533.296135899 -12415077.05895314),40.734405662677496,-73.74933941809888,0,7,0,7
77,POINT (40.70801459678458 -73.88558160954429),POINT (4531595.456119208 -12469496.09076247),40.70801459678458,-73.88558160954429,0,8,0,8
78,POINT (40.77639410276141 -73.80971875765677),POINT (4539207.427905244 -12439139.29450414),40.77639410276141,-73.80971875765677,0,3,0,3
79,POINT (40.75912036131375 -73.82726735664602),POINT (4537284.523803195 -12446149.10246808),40.75912036131375,-73.82726735664602,27,101,1,129
80,POINT (40.69602461863844 -73.84720246201708),POINT (4530260.737857357 -12454121.19046924),40.69602461863844,-73.84720246201708,0,20,0,20
81,POINT (40.69406255478732 -73.85043222420141),POINT (4530042.321908545 -12455413.68012727),40.694062554787315,-73.85043222420141,0,35,1,36
82,POINT (40.72305760019798 -73.73126210977995),POINT (4533270.035599189 -12407889.85241017),40.72305760019798,-73.73126210977995,15,10,0,25
83,POINT (40.70344881304023 -73.90611364093884),POINT (4531087.195397714 -12477735.97934884),40.70344881304023,-73.90611364093884,0,51,0,51
84,POINT (40.75336549764436 -73.74181186712067),POINT (4536643.895309934 -12412083.29785047),40.75336549764436,-73.74181186712067,0,3,0,3
85,POINT (40.73545844556588 -73.82017675288238),POINT (4534650.491390948 -12443315.86181205),40.735458445565875,-73.82017675288238,0,17,0,17
86,POINT (40.73727752009513 -73.75691628088109),POINT (4534852.989841261 -12418091.79468141),40.737277520095134,-73.75691628088109,0,7,0,7
87,POINT (40.72144711100362 -73.90662360148362),POINT (4533090.756762144 -12477940.76628613),40.72144711100362,-73.90662360148362,0,11,1,12
88,POINT (40.77883475784601 -73.89514205663686),POINT (4539479.120386463 -12473331.60482256),40.778834757846006,-73.89514205663686,0,6,0,6
89,POINT (40.73050809055102 -73.83398441945756),POINT (4534099.420391449 -12448834.20020141),40.73050809055102,-73.83398441945756,0,1,0,1
90,POINT (40.72644060115703 -73.72758283791329),POINT (4533646.629543304 -12406427.99308676),40.72644060115703,-73.72758283791329,0,4,0,4
91,POINT (40.77242305476494 -73.87244105197475),POINT (4538765.37286436 -12464227.90108031),40.772423054764936,-73.87244105197475,0,7,0,7
92,POINT (40.69727528939482 -73.78969610840851),POINT (4530399.961889107 -12431150.25049458),40.697275289394824,-73.7896961084085,0,58,1,59
93,POINT (40.74276944665066 -73.90252598161344),POINT (4535464.348308896 -12476295.44688376),40.742769446650655,-73.90252598161344,0,50,0,50
